Map,scenarios/0_original/animated/animated.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.49,83.0
1.37,58.0
0.77,79.0
1.00,75.0
0.94,75.0
1.08,70.0
1.35,53.0
0.37,91.0
1.49,54.0
2.34,16.0
1.51,59.0
1.08,71.0
1.37,58.0
0.66,83.0
0.51,87.0
1.66,55.0
0.80,79.0
0.80,79.0
0.23,95.0
1.51,59.0
0.66,83.0
0.51,87.0
0.51,87.0
0.94,75.0
0.63,83.0
1.09,66.0
0.94,70.0
0.80,79.0
1.63,45.0
0.51,86.0
0.80,79.0
0.23,95.0
1.09,71.0
0.63,83.0
1.51,54.0
0.51,87.0
0.23,95.0
1.48,55.0
0.94,75.0
0.80,79.0
0.94,75.0
0.91,75.0
0.23,95.0
0.66,83.0
0.80,79.0
0.66,83.0
1.23,67.0
0.77,79.0
1.34,59.0
0.63,83.0
1.80,41.0
2.17,25.0
0.80,79.0
1.80,46.0
1.23,67.0
0.23,95.0
0.23,95.0
0.23,95.0
1.51,54.0
1.08,71.0
1.71,42.0
0.94,70.0
1.74,42.0
0.51,86.0
0.85,79.0
0.80,79.0
0.37,91.0
2.51,21.0
2.46,17.0
0.51,87.0
0.23,95.0
0.37,91.0
0.23,95.0
0.37,91.0
1.89,43.0
0.77,79.0
1.65,50.0
0.37,91.0
0.51,87.0
0.23,95.0
1.20,58.0
0.66,83.0
0.91,71.0
1.23,67.0
0.77,79.0
0.23,95.0
1.71,41.0
1.06,66.0
0.23,95.0
0.80,79.0
1.49,54.0
0.51,87.0
0.23,94.0
1.43,59.0
0.66,82.0
0.77,79.0
0.94,70.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,70.0
0.51,87.0
1.94,37.0
0.51,87.0
1.95,47.0
0.52,87.0
0.88,70.0
0.37,91.0
0.23,95.0
1.20,67.0
0.94,75.0
0.94,75.0
0.51,87.0
2.28,30.0
0.20,95.0
0.23,95.0
1.66,55.0
1.20,63.0
0.77,75.0
1.66,55.0
0.94,75.0
1.31,58.0
1.23,66.0
1.34,63.0
1.23,67.0
1.91,37.0
0.80,79.0
0.80,74.0
2.57,26.0
1.06,65.0
0.34,91.0
2.00,43.0
0.80,79.0
0.66,83.0
0.80,79.0
1.94,36.0
0.51,87.0
0.80,74.0
0.66,83.0
0.23,95.0
0.20,94.0
1.66,54.0
1.23,67.0
1.48,55.0
1.20,63.0
0.66,83.0
1.20,58.0
1.66,50.0
0.51,87.0
1.34,59.0
0.66,83.0
0.66,83.0
1.23,67.0
0.51,87.0
1.37,63.0
0.91,71.0
1.23,67.0
1.08,71.0
0.94,75.0
1.34,59.0
1.80,50.0
0.91,71.0
1.03,71.0
0.80,79.0
1.34,63.0
0.37,91.0
1.09,71.0
0.37,91.0
0.94,75.0
2.12,26.0
0.37,91.0
0.94,75.0
0.91,71.0
2.23,34.0
0.80,79.0
1.94,37.0
1.80,41.0
2.20,30.0
0.66,83.0
0.23,95.0
0.94,75.0
0.51,87.0
0.51,87.0
1.09,71.0
1.88,41.0
1.05,71.0
0.80,74.0
1.34,59.0
1.60,51.0
0.80,74.0
0.80,79.0
0.66,83.0
0.66,83.0
0.91,75.0
0.23,95.0
0.94,75.0
2.03,38.0
2.09,33.0
1.23,62.0
289.71,198.11,16.0,95.0,71.325,18.58
