Map,scenarios/0_original/animated/animated.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.51,78.0
1.06,62.0
8.54,-347.0
8.54,-347.0
8.54,-349.0
8.54,-345.0
8.54,-347.0
8.54,-347.0
8.57,-346.0
8.54,-342.0
8.54,-346.0
1.06,62.0
8.54,-347.0
8.54,-347.0
0.60,79.0
0.62,78.0
8.54,-350.0
0.63,79.0
8.54,-348.0
0.63,79.0
8.54,-345.0
0.63,79.0
8.54,-343.0
8.57,-346.0
8.54,-346.0
8.54,-348.0
1.00,62.0
8.57,-350.0
0.63,79.0
0.23,95.0
0.63,78.0
0.23,95.0
8.54,-346.0
8.57,-346.0
8.57,-346.0
8.54,-344.0
0.23,95.0
8.54,-348.0
0.63,79.0
0.63,79.0
0.60,78.0
8.57,-346.0
0.23,95.0
8.55,-347.0
8.54,-344.0
8.57,-346.0
8.57,-342.0
8.54,-348.0
1.03,62.0
0.63,79.0
8.57,-346.0
1.03,62.0
1.06,62.0
8.54,-348.0
1.06,62.0
0.23,95.0
0.23,95.0
0.23,95.0
0.63,79.0
1.06,62.0
8.54,-345.0
8.57,-346.0
8.54,-344.0
8.54,-346.0
8.57,-346.0
8.57,-350.0
8.54,-346.0
1.05,62.0
1.03,62.0
8.54,-347.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.06,62.0
0.62,79.0
8.54,-348.0
8.54,-347.0
0.63,79.0
0.23,95.0
0.23,95.0
0.63,79.0
0.23,95.0
8.57,-346.0
8.54,-346.0
0.23,95.0
1.03,60.0
0.23,95.0
0.23,95.0
8.54,-346.0
0.63,79.0
8.54,-347.0
0.20,95.0
8.57,-350.0
8.55,-346.0
8.54,-347.0
8.54,-347.0
0.23,94.0
0.23,95.0
0.23,95.0
0.23,95.0
1.06,62.0
8.54,-349.0
8.54,-347.0
8.54,-345.0
1.06,62.0
8.54,-345.0
0.63,77.0
8.54,-346.0
0.23,95.0
8.54,-347.0
8.54,-346.0
8.55,-347.0
0.63,79.0
1.03,62.0
8.54,-351.0
0.23,95.0
1.06,62.0
1.40,45.0
8.54,-347.0
0.63,79.0
0.63,78.0
1.03,62.0
8.54,-347.0
8.54,-343.0
8.54,-345.0
8.54,-348.0
0.63,79.0
0.63,78.0
1.06,62.0
8.54,-345.0
8.54,-346.0
1.06,62.0
8.54,-350.0
8.54,-349.0
8.55,-348.0
1.06,62.0
8.54,-348.0
0.63,79.0
8.54,-346.0
0.23,94.0
0.23,95.0
0.63,79.0
1.06,62.0
8.54,-347.0
1.06,62.0
8.54,-346.0
8.54,-345.0
0.60,79.0
8.54,-344.0
1.06,62.0
8.54,-349.0
8.54,-348.0
8.54,-346.0
0.63,79.0
1.06,62.0
8.54,-348.0
8.55,-347.0
1.06,62.0
8.54,-347.0
8.54,-344.0
1.06,62.0
8.54,-346.0
8.57,-346.0
8.54,-345.0
0.63,78.0
0.23,95.0
8.54,-349.0
0.23,95.0
8.54,-347.0
1.06,62.0
0.63,79.0
0.62,79.0
8.54,-347.0
1.06,62.0
0.63,79.0
8.54,-342.0
0.63,79.0
8.57,-346.0
8.54,-352.0
0.23,95.0
8.54,-349.0
8.54,-346.0
8.54,-346.0
1.43,46.0
8.57,-346.0
1.03,65.0
8.54,-346.0
1.06,62.0
1.03,62.0
0.62,79.0
8.54,-346.0
8.54,-350.0
8.54,-347.0
8.54,-346.0
0.23,94.0
8.54,-345.0
8.54,-343.0
8.54,-346.0
0.63,79.0
1036.13,944.56,-352.0,95.0,-140.785,212.26
