Map,scenarios/0_original/basic/basic.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
3.54,1.0
8.54,-334.0
3.63,-31.0
2.25,18.0
1.94,32.0
2.00,30.0
1.34,54.0
0.77,75.0
1.17,63.0
1.46,48.0
1.31,54.0
4.83,-86.0
1.32,54.0
8.57,-326.0
1.34,54.0
2.80,-3.0
8.54,-325.0
4.00,-54.0
0.23,95.0
2.25,18.0
0.77,74.0
2.26,18.0
1.12,62.0
1.37,53.0
1.20,58.0
1.32,54.0
8.57,-335.0
1.40,46.0
2.40,14.0
0.23,95.0
1.71,38.0
0.23,95.0
2.11,22.0
0.80,74.0
8.54,-329.0
1.17,57.0
0.23,95.0
1.31,54.0
8.54,-325.0
8.54,-328.0
8.54,-325.0
8.55,-322.0
0.63,78.0
0.80,79.0
1.45,45.0
0.77,74.0
0.74,79.0
0.77,75.0
1.89,33.0
1.17,58.0
1.83,30.0
8.54,-336.0
8.54,-346.0
8.54,-334.0
8.54,-327.0
0.23,95.0
0.23,95.0
0.23,95.0
1.20,58.0
8.54,-340.0
1.03,71.0
1.29,58.0
1.97,25.0
0.77,75.0
0.80,79.0
1.85,34.0
0.77,75.0
8.57,-336.0
8.54,-331.0
1.43,44.0
0.23,95.0
0.23,95.0
0.22,95.0
0.23,95.0
8.54,-330.0
8.54,-326.0
8.54,-340.0
0.77,75.0
1.86,34.0
0.23,95.0
0.63,79.0
8.57,-332.0
0.23,95.0
1.89,32.0
0.77,75.0
0.23,95.0
8.54,-337.0
0.22,95.0
0.23,95.0
3.34,-23.0
1.20,58.0
0.63,79.0
0.23,95.0
1.29,58.0
0.91,71.0
8.54,-321.0
3.03,-19.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-334.0
0.77,75.0
1.48,50.0
0.77,75.0
8.55,-326.0
0.77,75.0
8.57,-326.0
0.77,75.0
0.20,94.0
1.35,53.0
8.54,-330.0
8.55,-336.0
1.20,58.0
8.54,-324.0
0.23,95.0
0.23,95.0
8.55,-331.0
8.54,-334.0
0.77,75.0
2.80,-2.0
8.54,-325.0
8.54,-335.0
8.54,-326.0
1.34,54.0
8.57,-326.0
1.34,54.0
1.71,38.0
2.94,-6.0
8.55,-335.0
0.77,75.0
0.77,75.0
8.55,-335.0
1.31,54.0
8.54,-324.0
2.66,2.0
4.83,-71.0
3.20,-18.0
8.57,-335.0
0.91,71.0
0.23,95.0
0.22,95.0
8.54,-320.0
8.54,-324.0
0.80,79.0
8.55,-330.0
1.20,58.0
0.77,75.0
8.54,-332.0
0.77,75.0
8.54,-335.0
0.80,79.0
0.77,75.0
1.34,58.0
2.37,8.0
8.54,-335.0
0.77,75.0
1.71,38.0
8.57,-336.0
1.34,54.0
1.34,54.0
3.34,-22.0
0.77,74.0
1.49,50.0
0.77,79.0
3.63,-35.0
0.23,95.0
0.91,71.0
0.23,95.0
0.80,79.0
8.54,-329.0
2.26,17.0
3.60,-35.0
8.54,-321.0
4.20,-52.0
1.57,42.0
1.20,63.0
2.26,18.0
8.57,-341.0
0.80,74.0
0.23,95.0
0.92,71.0
1.20,58.0
0.77,75.0
8.57,-341.0
1.83,30.0
8.54,-325.0
1.06,62.0
8.54,-334.0
8.54,-336.0
3.46,-22.0
8.54,-320.0
1.71,38.0
8.54,-320.0
1.34,54.0
0.63,79.0
3.77,-36.0
8.57,-336.0
5.09,-94.0
8.54,-319.0
764.99,673.48,-346.0,95.0,-54.395,175.58
