Map,scenarios/0_original/basic/basic.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.60,79.0
1.34,58.0
1.71,45.0
1.66,45.0
0.91,71.0
0.80,79.0
0.91,71.0
0.37,91.0
1.09,66.0
0.91,71.0
1.06,67.0
1.09,71.0
0.94,75.0
0.63,83.0
0.48,87.0
0.80,79.0
0.91,71.0
1.51,49.0
0.23,95.0
0.51,87.0
0.66,83.0
0.80,79.0
0.51,87.0
0.94,74.0
0.51,87.0
0.91,71.0
0.94,75.0
0.91,71.0
1.91,37.0
0.23,95.0
0.80,79.0
0.51,87.0
1.63,46.0
0.51,86.0
0.77,79.0
0.51,87.0
0.51,87.0
1.09,66.0
0.91,71.0
0.80,79.0
0.80,78.0
0.51,87.0
0.51,87.0
1.94,37.0
0.91,71.0
0.66,83.0
1.06,66.0
0.65,83.0
0.94,75.0
0.52,87.0
1.06,67.0
0.91,75.0
1.23,62.0
0.80,79.0
1.09,71.0
0.37,91.0
0.37,91.0
0.23,95.0
0.51,87.0
0.94,75.0
1.05,71.0
0.48,87.0
1.63,45.0
0.37,91.0
0.91,71.0
0.91,71.0
2.09,28.0
0.94,75.0
1.92,37.0
0.51,87.0
0.46,91.0
0.37,91.0
0.37,91.0
0.23,95.0
1.31,59.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.09,71.0
0.66,83.0
0.23,95.0
0.94,75.0
0.37,91.0
0.37,91.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
1.06,67.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.37,91.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
2.00,30.0
0.51,87.0
0.94,75.0
0.51,87.0
0.77,79.0
0.51,87.0
0.23,95.0
1.08,66.0
0.91,71.0
0.80,79.0
0.51,87.0
1.09,66.0
0.23,95.0
0.37,91.0
0.80,79.0
1.23,62.0
0.23,95.0
0.80,79.0
0.80,79.0
0.94,75.0
0.80,79.0
0.94,75.0
1.63,45.0
0.91,71.0
0.80,79.0
0.80,79.0
0.94,75.0
0.66,83.0
0.51,87.0
0.94,75.0
0.91,71.0
0.51,87.0
0.91,71.0
0.94,75.0
0.51,87.0
0.80,79.0
0.66,83.0
0.37,91.0
0.37,91.0
0.80,79.0
0.94,75.0
1.77,41.0
1.08,71.0
0.51,87.0
0.37,91.0
0.91,71.0
0.51,87.0
1.31,59.0
1.74,45.0
0.66,83.0
1.09,66.0
0.51,87.0
0.91,75.0
0.51,87.0
1.08,66.0
0.94,75.0
0.91,71.0
1.06,67.0
0.91,75.0
0.66,82.0
1.66,45.0
0.77,79.0
0.51,87.0
0.23,95.0
1.66,45.0
0.23,95.0
0.91,71.0
0.92,75.0
0.49,87.0
0.51,87.0
0.66,83.0
1.17,62.0
0.51,87.0
1.06,67.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.91,37.0
0.51,87.0
0.77,75.0
1.09,71.0
1.09,66.0
1.48,55.0
0.51,87.0
1.08,71.0
1.23,62.0
0.80,79.0
0.80,79.0
0.66,83.0
0.51,87.0
0.91,70.0
0.51,87.0
0.91,71.0
0.94,75.0
0.80,79.0
0.51,87.0
254.28,162.66,28.0,95.0,76.915,13.87
