Map,scenarios/0_original/basic/basic.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
7.54,-115.0
8.54,-302.0
1.80,41.0
2.08,33.0
1.23,61.0
2.63,17.0
0.91,71.0
1.80,46.0
4.00,-41.0
0.91,71.0
1.77,42.0
8.54,-281.0
1.66,50.0
0.94,75.0
2.94,14.0
1.66,55.0
1.20,67.0
1.60,50.0
0.37,91.0
1.23,67.0
0.94,75.0
2.37,35.0
0.63,83.0
2.36,25.0
0.51,87.0
0.94,75.0
1.66,50.0
1.09,71.0
1.46,59.0
0.28,96.0
1.94,47.0
1.51,59.0
1.77,41.0
0.51,87.0
1.34,63.0
0.51,87.0
0.23,95.0
2.06,38.0
1.94,47.0
8.57,-246.0
1.66,55.0
2.80,18.0
1.80,51.0
0.80,79.0
1.09,71.0
0.94,75.0
1.08,71.0
0.66,83.0
8.54,-307.0
8.54,-247.0
1.34,63.0
1.37,63.0
8.54,-280.0
8.06,-170.0
8.54,-280.0
0.37,91.0
0.23,95.0
0.23,95.0
0.94,75.0
8.54,-306.0
1.34,63.0
0.51,87.0
2.08,38.0
0.37,91.0
2.23,24.0
1.09,71.0
0.37,91.0
1.08,71.0
8.57,-316.0
0.49,87.0
0.23,94.0
0.37,91.0
0.23,95.0
0.23,95.0
1.23,67.0
8.54,-254.0
5.34,-74.0
2.23,34.0
2.28,25.0
1.51,58.0
0.63,82.0
3.08,10.0
0.23,95.0
1.34,59.0
0.91,75.0
0.23,95.0
1.94,42.0
0.52,87.0
0.23,95.0
0.80,79.0
0.94,75.0
0.51,87.0
1.89,42.0
1.34,59.0
0.94,75.0
0.91,75.0
0.51,87.0
0.23,95.0
0.34,91.0
0.23,95.0
1.51,58.0
1.66,50.0
0.49,87.0
2.09,33.0
0.51,87.0
8.54,-311.0
0.49,87.0
7.66,-152.0
0.66,83.0
0.23,95.0
1.66,50.0
1.08,71.0
2.66,22.0
0.89,75.0
1.23,67.0
0.80,74.0
0.51,87.0
1.49,59.0
1.34,63.0
1.20,58.0
1.66,55.0
5.14,-72.0
8.54,-306.0
1.66,50.0
1.66,50.0
0.94,75.0
1.89,43.0
2.17,39.0
0.94,75.0
2.66,17.0
0.94,75.0
0.51,86.0
8.54,-302.0
1.08,71.0
2.74,4.0
1.86,37.0
8.57,-241.0
1.94,47.0
1.63,50.0
0.66,83.0
0.23,95.0
0.23,95.0
8.54,-244.0
1.23,67.0
1.06,66.0
8.54,-310.0
0.51,87.0
1.20,58.0
1.48,59.0
0.51,87.0
1.66,50.0
0.91,70.0
0.94,75.0
1.51,58.0
0.94,75.0
8.54,-310.0
0.65,83.0
1.66,50.0
8.54,-289.0
0.94,75.0
1.91,38.0
8.54,-282.0
0.66,83.0
2.09,33.0
1.20,67.0
0.94,75.0
0.23,95.0
0.94,75.0
0.23,95.0
1.20,63.0
1.88,47.0
0.89,78.0
0.94,75.0
0.94,75.0
8.54,-245.0
8.54,-253.0
1.74,46.0
1.20,67.0
1.89,42.0
1.83,37.0
0.23,95.0
1.03,67.0
0.51,87.0
0.37,91.0
8.54,-315.0
1.91,37.0
8.54,-285.0
1.62,50.0
8.57,-246.0
3.77,-25.0
5.43,-79.0
3.06,10.0
1.85,34.0
1.20,67.0
0.80,79.0
1.80,51.0
3.03,0.0
3.23,-4.0
2.91,19.0
1.06,71.0
549.76,458.12,-316.0,96.0,16.55,116.94
