Map,scenarios/0_original/caco/caco.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.94,71.0
1.60,46.0
3.69,-30.0
3.20,-4.0
2.09,33.0
1.09,66.0
0.91,71.0
3.69,-34.0
4.48,-55.0
3.51,-22.0
4.20,-42.0
1.77,42.0
2.17,25.0
0.91,70.0
0.49,87.0
0.63,83.0
0.91,71.0
1.49,50.0
2.57,9.0
0.94,75.0
4.37,-51.0
0.91,71.0
4.97,-65.0
3.17,-18.0
4.03,-43.0
0.92,71.0
1.77,42.0
2.51,16.0
0.60,87.0
1.85,34.0
1.06,67.0
0.51,87.0
2.89,0.0
2.20,25.0
1.34,54.0
0.51,87.0
0.49,87.0
3.20,-18.0
0.91,69.0
1.46,50.0
0.80,79.0
0.51,87.0
0.51,87.0
3.83,-38.0
1.46,50.0
3.08,-10.0
0.91,71.0
1.91,32.0
2.26,17.0
0.51,87.0
1.86,34.0
1.08,66.0
2.03,33.0
0.80,79.0
8.54,-281.0
1.71,41.0
0.91,71.0
2.66,0.0
0.49,86.0
1.43,47.0
7.77,-176.0
4.06,-48.0
2.28,19.0
6.77,-133.0
1.29,58.0
5.54,-102.0
1.37,58.0
1.20,62.0
1.46,50.0
0.49,87.0
0.51,87.0
3.17,-14.0
1.86,34.0
2.40,14.0
1.89,38.0
1.49,50.0
1.14,62.0
4.00,-34.0
1.03,66.0
1.43,50.0
0.51,87.0
0.51,87.0
1.46,50.0
2.03,29.0
2.54,10.0
3.23,-14.0
1.48,50.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
0.51,87.0
0.49,87.0
3.97,-29.0
3.20,-13.0
0.51,87.0
1.65,45.0
5.28,-87.0
2.40,13.0
0.49,87.0
0.52,87.0
1.20,62.0
1.37,58.0
2.23,28.0
3.46,-22.0
1.88,32.0
1.51,49.0
0.91,70.0
1.60,45.0
2.91,-2.0
6.03,-128.0
3.06,-5.0
0.77,79.0
0.51,87.0
0.80,79.0
2.74,4.0
0.51,87.0
1.23,62.0
3.66,-26.0
8.54,-322.0
1.00,71.0
1.09,66.0
1.37,58.0
1.06,67.0
4.91,-83.0
2.34,25.0
2.40,13.0
1.03,67.0
0.91,71.0
1.77,42.0
1.71,38.0
4.26,-45.0
2.34,26.0
4.91,-62.0
7.94,-200.0
4.77,-68.0
1.37,58.0
0.51,87.0
0.80,79.0
3.34,-23.0
1.86,34.0
1.77,41.0
1.06,66.0
1.57,46.0
1.86,34.0
1.57,46.0
1.37,58.0
2.37,14.0
0.91,71.0
1.37,58.0
1.60,46.0
4.20,-47.0
3.34,-13.0
2.45,17.0
0.51,87.0
1.06,67.0
1.77,41.0
3.20,-18.0
2.54,10.0
0.91,71.0
4.40,-53.0
1.63,46.0
1.94,32.0
2.49,21.0
0.89,71.0
0.51,87.0
1.34,54.0
4.63,-58.0
1.63,46.0
0.91,71.0
1.57,46.0
0.51,87.0
0.51,87.0
1.71,38.0
3.97,-43.0
0.51,87.0
0.92,71.0
0.94,75.0
1.08,66.0
3.17,-9.0
6.09,-113.0
1.46,50.0
0.51,87.0
3.66,-26.0
1.37,58.0
0.91,70.0
1.37,58.0
1.94,37.0
1.63,46.0
2.34,26.0
0.80,79.0
1.09,66.0
1.85,34.0
5.03,-81.0
1.20,62.0
0.51,87.0
3.77,-40.0
1.31,54.0
1.49,50.0
1.09,71.0
501.54,409.94,-322.0,87.0,29.455,62.95
