Map,scenarios/0_original/caco/caco.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
0.94,75.0
0.91,75.0
1.00,75.0
0.91,75.0
0.92,75.0
0.80,79.0
0.51,87.0
1.37,58.0
0.86,75.0
1.08,71.0
0.94,75.0
1.09,71.0
0.65,83.0
0.37,91.0
0.66,83.0
0.94,75.0
0.66,83.0
0.37,91.0
0.51,87.0
0.77,79.0
0.66,82.0
0.52,87.0
1.08,71.0
0.51,87.0
0.94,74.0
0.94,75.0
0.80,79.0
0.51,87.0
0.23,95.0
0.66,83.0
0.23,95.0
0.91,75.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.34,59.0
0.66,83.0
0.66,83.0
0.65,83.0
0.37,91.0
0.23,95.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.80,79.0
0.94,75.0
0.51,87.0
1.34,57.0
0.80,79.0
0.91,75.0
0.80,78.0
0.94,75.0
0.23,95.0
0.23,95.0
0.23,95.0
0.51,87.0
0.94,75.0
1.34,59.0
0.51,86.0
0.94,74.0
0.51,87.0
0.91,75.0
0.77,79.0
0.37,91.0
0.80,79.0
1.08,71.0
0.66,83.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.91,75.0
0.63,83.0
0.80,79.0
0.51,87.0
0.63,83.0
0.20,95.0
0.23,95.0
0.77,78.0
0.23,95.0
1.09,71.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.23,95.0
0.51,87.0
2.03,42.0
0.34,91.0
0.20,94.0
1.06,70.0
0.65,83.0
0.37,91.0
0.51,87.0
0.20,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.51,87.0
1.49,54.0
0.51,87.0
0.94,75.0
0.51,87.0
0.66,83.0
0.51,87.0
0.23,95.0
1.34,59.0
0.94,74.0
0.80,78.0
0.66,83.0
0.77,79.0
0.37,91.0
0.23,95.0
0.80,79.0
0.83,75.0
0.37,91.0
0.66,83.0
0.80,79.0
0.94,75.0
0.80,79.0
1.08,71.0
0.94,75.0
0.94,75.0
0.74,78.0
0.65,83.0
0.91,75.0
0.80,79.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
0.77,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.66,83.0
0.23,94.0
0.23,95.0
0.80,79.0
0.94,75.0
0.80,78.0
0.94,75.0
0.51,87.0
0.37,91.0
0.66,83.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
1.34,59.0
0.66,83.0
0.94,75.0
0.51,87.0
1.34,59.0
1.20,63.0
0.80,79.0
1.09,71.0
0.94,75.0
0.80,79.0
1.05,71.0
0.80,79.0
0.51,87.0
0.23,95.0
0.80,79.0
0.23,95.0
0.94,75.0
0.94,75.0
0.86,75.0
0.51,87.0
0.80,79.0
1.08,71.0
0.51,87.0
1.08,71.0
0.51,87.0
0.80,79.0
0.65,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.49,86.0
0.94,75.0
1.34,59.0
1.20,67.0
0.37,91.0
1.94,37.0
0.94,75.0
0.66,83.0
0.80,79.0
0.77,79.0
0.66,83.0
0.91,75.0
0.23,95.0
0.94,75.0
0.80,79.0
0.66,83.0
0.37,91.0
234.23,142.60,37.0,95.0,80.995,9.90
