Map,scenarios/0_original/flat/flat.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.66,79.0
1.23,67.0
0.77,75.0
1.71,45.0
2.31,16.0
0.94,75.0
0.80,79.0
0.37,91.0
1.20,63.0
0.80,79.0
1.06,67.0
1.23,67.0
1.09,71.0
2.03,34.0
0.66,83.0
1.51,54.0
0.77,75.0
0.80,79.0
0.23,95.0
0.66,82.0
0.66,83.0
0.80,79.0
0.51,87.0
1.08,71.0
0.51,87.0
0.94,75.0
1.48,55.0
0.80,79.0
1.20,63.0
0.23,95.0
1.49,55.0
0.49,87.0
0.94,70.0
0.66,83.0
1.34,59.0
0.66,83.0
0.48,87.0
1.03,71.0
0.77,79.0
0.80,79.0
1.48,55.0
0.66,83.0
0.51,87.0
0.77,75.0
0.80,78.0
0.65,83.0
0.91,75.0
0.77,79.0
1.09,71.0
0.74,79.0
1.06,71.0
1.49,55.0
1.49,55.0
0.94,75.0
1.23,67.0
0.23,94.0
0.23,94.0
0.23,95.0
1.20,63.0
2.46,21.0
1.20,63.0
0.52,87.0
0.94,70.0
0.51,87.0
0.92,70.0
0.74,79.0
0.37,91.0
1.57,55.0
1.23,67.0
0.65,83.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
1.49,54.0
0.80,79.0
1.63,51.0
0.37,91.0
0.77,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.09,71.0
0.66,83.0
0.23,95.0
1.63,49.0
0.51,87.0
0.37,91.0
0.65,83.0
1.20,63.0
0.65,83.0
0.51,87.0
1.06,66.0
0.66,83.0
0.65,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
1.49,55.0
0.51,87.0
0.91,70.0
0.51,87.0
1.09,71.0
0.51,87.0
0.80,79.0
0.48,86.0
0.23,95.0
1.20,63.0
2.31,15.0
0.94,75.0
1.20,63.0
0.94,75.0
0.20,95.0
0.37,91.0
0.94,75.0
1.08,71.0
0.23,95.0
1.48,54.0
1.77,42.0
1.63,51.0
2.77,9.0
1.09,71.0
0.91,75.0
2.31,16.0
1.48,54.0
0.77,79.0
1.03,71.0
0.77,79.0
0.51,87.0
1.09,71.0
0.80,79.0
0.66,83.0
1.72,49.0
3.00,1.0
0.66,83.0
1.34,57.0
0.66,83.0
0.23,95.0
0.23,95.0
0.91,75.0
1.09,71.0
0.80,79.0
1.23,67.0
0.51,87.0
0.23,95.0
0.80,79.0
0.51,87.0
1.49,55.0
0.80,79.0
0.66,83.0
1.20,62.0
1.20,63.0
1.63,51.0
0.52,87.0
1.06,66.0
2.77,8.0
0.94,70.0
1.06,66.0
1.06,71.0
2.06,34.0
0.94,75.0
0.80,79.0
2.63,12.0
0.23,95.0
0.80,79.0
0.23,95.0
0.77,75.0
1.08,71.0
1.06,67.0
1.20,62.0
2.06,34.0
1.23,67.0
0.66,83.0
1.06,67.0
0.66,83.0
1.60,49.0
0.66,83.0
0.23,95.0
2.34,21.0
0.63,83.0
0.37,91.0
1.17,67.0
1.06,70.0
1.17,67.0
0.51,87.0
1.63,51.0
1.06,71.0
1.51,53.0
0.89,79.0
0.80,79.0
0.66,83.0
0.77,75.0
0.51,87.0
0.91,70.0
1.49,55.0
0.80,79.0
0.63,83.0
280.00,188.40,1.0,95.0,72.695,18.67
