Map,scenarios/0_original/flat/flat.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.60,79.0
1.08,71.0
1.06,62.0
1.03,64.0
1.02,62.0
0.80,79.0
1.06,62.0
0.63,79.0
1.06,62.0
1.97,26.0
1.06,62.0
1.03,71.0
1.57,42.0
1.03,62.0
0.51,87.0
0.65,83.0
1.06,62.0
0.66,83.0
0.23,95.0
0.51,87.0
0.63,79.0
0.66,83.0
0.63,78.0
1.06,62.0
0.63,79.0
1.06,62.0
0.94,75.0
1.66,40.0
0.66,82.0
0.23,95.0
0.80,79.0
0.23,95.0
1.06,62.0
0.63,79.0
0.80,79.0
0.63,79.0
0.23,95.0
1.06,62.0
0.66,83.0
0.66,83.0
0.66,83.0
0.51,87.0
0.80,74.0
0.63,79.0
1.63,39.0
0.63,79.0
1.03,62.0
0.63,79.0
0.94,75.0
0.51,87.0
1.06,62.0
0.91,75.0
0.94,75.0
0.80,79.0
1.09,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.51,86.0
0.94,75.0
1.06,62.0
0.63,79.0
1.43,46.0
0.63,78.0
1.06,62.0
1.06,62.0
0.23,94.0
0.94,75.0
1.08,71.0
0.63,79.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.65,83.0
0.80,79.0
0.63,79.0
0.60,87.0
0.23,95.0
0.77,73.0
0.66,83.0
0.23,95.0
1.05,62.0
0.60,78.0
0.23,95.0
0.80,79.0
0.23,95.0
0.23,95.0
0.51,86.0
0.51,87.0
0.51,87.0
0.23,95.0
1.06,62.0
0.63,77.0
0.51,87.0
0.63,79.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.91,75.0
0.63,79.0
1.06,62.0
0.63,79.0
0.91,75.0
0.63,79.0
0.66,83.0
0.63,79.0
0.23,95.0
1.03,62.0
1.06,62.0
0.80,79.0
0.51,87.0
0.80,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.91,75.0
0.23,95.0
0.66,83.0
0.80,79.0
0.94,75.0
0.80,79.0
1.57,42.0
0.63,79.0
1.06,62.0
0.80,79.0
0.66,83.0
0.89,75.0
0.63,79.0
0.63,79.0
0.94,75.0
1.06,62.0
0.63,79.0
1.66,40.0
0.94,75.0
0.51,87.0
0.80,79.0
0.63,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
0.63,79.0
1.08,71.0
0.63,79.0
0.23,95.0
0.63,83.0
0.63,79.0
0.94,75.0
2.51,6.0
0.63,79.0
1.06,62.0
0.51,87.0
0.91,75.0
0.63,79.0
1.06,62.0
0.94,74.0
1.06,62.0
1.03,65.0
0.91,75.0
0.60,78.0
1.02,62.0
1.03,62.0
0.51,87.0
0.23,95.0
0.63,78.0
0.23,95.0
1.06,62.0
0.94,75.0
0.37,91.0
0.51,87.0
0.63,79.0
1.05,71.0
0.49,86.0
1.06,62.0
0.51,86.0
0.80,79.0
0.63,79.0
0.23,95.0
1.57,42.0
1.03,62.0
0.23,95.0
1.08,71.0
1.03,62.0
1.09,70.0
0.63,78.0
1.03,71.0
0.94,75.0
0.66,83.0
0.74,79.0
0.63,79.0
0.63,79.0
1.06,62.0
0.80,74.0
1.43,46.0
0.94,75.0
0.66,83.0
0.51,87.0
242.25,150.65,6.0,95.0,76.705,13.95
