Map,scenarios/1_switch/basic_animated/ba_c.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.46,42.0
8.54,-327.0
1.34,54.0
1.34,54.0
0.94,70.0
8.54,-329.0
1.03,67.0
0.77,73.0
1.48,50.0
3.57,-30.0
1.46,50.0
7.88,-197.0
1.31,53.0
0.92,71.0
0.77,75.0
2.80,-2.0
1.34,54.0
8.54,-329.0
0.23,95.0
6.97,-160.0
8.54,-329.0
0.77,74.0
0.77,75.0
1.74,37.0
1.20,58.0
1.48,50.0
4.03,-52.0
0.80,79.0
2.11,22.0
0.23,95.0
1.34,54.0
0.23,95.0
1.20,58.0
4.11,-51.0
1.86,34.0
0.91,71.0
0.23,95.0
2.14,20.0
2.80,-2.0
6.43,-137.0
8.54,-321.0
1.89,33.0
0.63,79.0
0.91,71.0
0.80,79.0
0.80,79.0
1.57,42.0
0.92,71.0
8.54,-327.0
8.54,-330.0
1.83,30.0
8.54,-341.0
8.54,-338.0
8.54,-328.0
4.83,-75.0
0.22,95.0
0.23,95.0
0.23,95.0
1.86,34.0
8.54,-324.0
1.34,54.0
1.20,58.0
1.43,44.0
0.37,91.0
0.94,70.0
1.20,58.0
0.77,77.0
8.54,-337.0
8.37,-222.0
0.89,71.0
0.23,95.0
0.22,95.0
0.23,95.0
0.20,94.0
8.54,-331.0
8.54,-326.0
8.54,-325.0
0.77,75.0
2.37,9.0
0.20,95.0
0.63,78.0
1.20,58.0
0.20,95.0
1.49,50.0
0.86,71.0
0.23,94.0
8.54,-331.0
8.54,-324.0
0.23,95.0
5.51,-108.0
1.97,30.0
0.63,79.0
0.22,95.0
1.45,50.0
0.91,71.0
8.57,-321.0
0.77,75.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-331.0
0.78,75.0
1.46,50.0
0.77,75.0
8.54,-321.0
0.77,75.0
8.54,-331.0
0.77,74.0
0.23,95.0
1.34,53.0
1.17,61.0
2.40,14.0
1.86,34.0
8.54,-328.0
0.23,95.0
0.23,95.0
8.54,-324.0
8.54,-320.0
0.77,75.0
8.54,-326.0
8.54,-333.0
8.54,-338.0
8.54,-323.0
1.45,50.0
1.31,54.0
1.49,50.0
1.74,37.0
2.80,-2.0
8.54,-326.0
0.77,75.0
2.40,14.0
8.54,-334.0
1.31,54.0
1.83,29.0
0.80,79.0
8.54,-334.0
8.54,-333.0
8.54,-323.0
0.91,71.0
0.23,95.0
0.23,95.0
8.57,-326.0
5.31,-88.0
0.66,83.0
5.97,-113.0
1.20,58.0
0.77,75.0
1.57,42.0
0.77,75.0
8.54,-338.0
0.66,83.0
0.91,71.0
1.52,49.0
8.54,-333.0
8.54,-331.0
0.77,75.0
1.86,34.0
8.54,-325.0
1.34,54.0
1.34,54.0
8.54,-343.0
0.77,75.0
1.48,50.0
8.06,-206.0
3.63,-35.0
0.23,95.0
0.91,71.0
0.23,95.0
0.80,79.0
8.57,-330.0
8.57,-330.0
2.80,-3.0
0.77,75.0
3.17,-13.0
2.80,-2.0
1.20,63.0
8.55,-323.0
8.54,-334.0
7.66,-195.0
0.23,95.0
0.91,71.0
1.20,58.0
0.77,75.0
8.54,-314.0
1.83,30.0
8.54,-315.0
1.06,62.0
8.55,-344.0
8.54,-334.0
4.66,-82.0
8.55,-322.0
0.66,83.0
0.63,83.0
1.48,50.0
0.63,79.0
3.71,-34.0
8.55,-337.0
8.54,-327.0
8.54,-333.0
759.93,668.34,-344.0,95.0,-50.225,172.07
