Map,scenarios/1_switch/basic_animated/ba_c.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.37,49.0
1.23,57.0
8.54,-349.0
8.54,-345.0
8.54,-345.0
1.20,58.0
8.54,-346.0
0.63,79.0
8.57,-351.0
8.54,-344.0
8.57,-350.0
1.29,58.0
8.54,-344.0
8.54,-344.0
0.77,75.0
1.06,62.0
8.54,-344.0
1.43,46.0
0.23,95.0
0.63,79.0
8.54,-344.0
0.77,75.0
2.26,11.0
8.57,-346.0
8.54,-344.0
8.54,-346.0
1.06,62.0
8.54,-350.0
0.80,73.0
0.23,95.0
1.09,66.0
0.63,79.0
8.54,-347.0
8.54,-346.0
3.77,-44.0
8.54,-345.0
0.23,95.0
8.57,-346.0
0.63,79.0
0.77,75.0
1.17,62.0
0.63,79.0
0.63,79.0
8.54,-343.0
8.54,-347.0
8.54,-344.0
8.54,-344.0
8.54,-348.0
1.06,62.0
0.77,74.0
8.54,-344.0
1.03,62.0
1.06,62.0
2.63,-2.0
1.06,62.0
0.23,95.0
0.23,95.0
0.23,95.0
0.63,79.0
1.06,62.0
8.54,-345.0
7.03,-181.0
8.54,-345.0
8.54,-346.0
8.54,-345.0
8.54,-347.0
8.54,-345.0
1.20,58.0
1.06,62.0
5.83,-133.0
0.23,95.0
0.31,95.0
0.23,95.0
0.23,95.0
1.03,62.0
0.94,70.0
1.20,58.0
2.23,14.0
0.77,75.0
0.63,79.0
0.63,79.0
0.80,74.0
0.23,94.0
8.54,-344.0
8.54,-344.0
0.23,95.0
1.43,46.0
0.23,95.0
0.23,95.0
0.63,79.0
0.77,75.0
1.43,46.0
0.23,95.0
8.54,-347.0
8.54,-344.0
1.06,62.0
3.06,-19.0
0.23,95.0
0.23,95.0
0.77,75.0
0.63,79.0
1.03,62.0
8.54,-342.0
8.54,-344.0
0.63,79.0
1.43,45.0
3.06,-19.0
0.77,75.0
1.43,46.0
0.23,95.0
8.54,-345.0
8.54,-344.0
1.06,62.0
0.77,75.0
4.77,-87.0
0.23,95.0
0.23,94.0
1.06,62.0
1.83,30.0
1.06,62.0
1.09,66.0
1.09,66.0
1.20,58.0
1.09,66.0
8.54,-346.0
8.54,-344.0
8.57,-346.0
1.09,66.0
0.77,75.0
1.06,62.0
8.54,-345.0
8.54,-346.0
1.06,62.0
8.54,-346.0
8.54,-346.0
8.54,-346.0
1.03,65.0
0.63,79.0
0.77,75.0
8.57,-346.0
0.23,94.0
0.23,95.0
1.20,58.0
1.06,62.0
8.54,-346.0
1.23,57.0
8.54,-344.0
1.43,46.0
0.77,75.0
8.54,-348.0
1.06,62.0
8.57,-346.0
8.57,-346.0
8.54,-342.0
0.63,79.0
1.06,62.0
3.43,-36.0
8.54,-347.0
1.06,62.0
8.54,-345.0
8.57,-346.0
1.03,62.0
8.57,-346.0
8.57,-346.0
8.54,-342.0
0.63,79.0
0.23,95.0
8.54,-345.0
0.23,95.0
8.54,-344.0
1.03,61.0
0.63,79.0
0.63,79.0
8.54,-344.0
1.23,57.0
0.77,75.0
8.57,-346.0
0.77,75.0
1.20,58.0
8.57,-346.0
0.23,95.0
8.54,-345.0
8.54,-342.0
8.54,-345.0
1.23,57.0
8.57,-346.0
1.43,46.0
1.06,62.0
1.20,58.0
1.06,62.0
1.06,62.0
1.09,66.0
8.54,-344.0
8.57,-346.0
8.54,-345.0
0.62,79.0
8.54,-343.0
1.20,58.0
8.55,-344.0
1.03,62.0
858.56,767.00,-351.0,95.0,-88.525,199.32
