Map,scenarios/1_switch/basic_animated/ba_cf.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.54,83.0
2.69,28.0
3.20,7.0
2.09,38.0
2.23,39.0
0.94,75.0
3.37,7.0
1.48,59.0
1.46,54.0
1.91,47.0
1.20,67.0
1.97,43.0
1.08,70.0
0.80,79.0
0.48,87.0
1.23,67.0
0.80,79.0
0.77,79.0
0.23,95.0
0.66,83.0
2.23,39.0
2.14,26.0
0.51,87.0
3.57,-7.0
1.37,63.0
1.08,71.0
1.80,51.0
2.60,27.0
0.66,83.0
0.23,95.0
0.94,75.0
0.23,95.0
2.26,35.0
1.48,59.0
0.94,75.0
2.60,18.0
0.23,95.0
1.49,55.0
0.94,75.0
0.77,78.0
0.91,75.0
0.65,83.0
0.23,95.0
1.46,55.0
1.77,51.0
2.03,47.0
0.80,79.0
0.80,79.0
1.88,42.0
0.80,79.0
2.37,30.0
1.80,51.0
1.57,55.0
1.66,55.0
3.37,6.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
1.09,71.0
1.34,59.0
3.20,-5.0
2.77,23.0
0.51,87.0
0.80,79.0
1.91,43.0
2.80,8.0
1.77,51.0
2.20,33.0
0.77,79.0
0.23,95.0
0.23,95.0
0.23,95.0
0.22,95.0
1.77,51.0
1.08,71.0
1.20,67.0
2.49,10.0
1.06,67.0
0.23,95.0
0.20,95.0
0.91,75.0
0.23,95.0
2.60,23.0
1.91,47.0
0.23,94.0
1.63,51.0
0.23,95.0
0.23,95.0
0.62,82.0
0.65,83.0
0.63,83.0
0.23,95.0
1.09,71.0
0.80,79.0
0.37,91.0
4.00,-23.0
0.23,94.0
0.23,95.0
0.23,95.0
0.23,95.0
1.49,59.0
1.94,47.0
3.29,2.0
0.51,87.0
1.86,47.0
1.77,46.0
0.94,75.0
1.37,63.0
0.23,95.0
1.66,50.0
2.23,39.0
1.23,67.0
0.66,83.0
1.09,71.0
0.23,95.0
0.23,95.0
1.09,71.0
1.80,51.0
1.20,63.0
1.23,67.0
0.94,75.0
1.80,46.0
1.51,59.0
1.31,59.0
1.09,71.0
2.03,43.0
0.94,75.0
1.28,63.0
1.09,71.0
0.80,79.0
2.37,35.0
2.06,33.0
1.88,47.0
3.63,-20.0
1.31,63.0
1.77,50.0
0.66,82.0
2.05,33.0
0.80,79.0
0.23,95.0
0.23,95.0
0.94,75.0
2.28,34.0
1.34,58.0
1.80,51.0
2.23,39.0
2.17,33.0
1.06,66.0
0.86,75.0
1.88,47.0
4.40,-49.0
2.20,39.0
1.34,59.0
0.66,83.0
1.17,66.0
0.63,83.0
1.91,38.0
1.91,43.0
0.77,79.0
1.20,63.0
1.51,53.0
0.80,79.0
2.91,15.0
0.80,79.0
0.63,83.0
0.23,95.0
0.80,79.0
0.23,95.0
1.09,71.0
1.51,54.0
0.37,91.0
0.63,83.0
0.74,79.0
2.08,43.0
0.65,83.0
2.06,34.0
0.66,83.0
0.94,75.0
1.91,40.0
0.23,95.0
0.80,79.0
3.31,-2.0
1.49,59.0
1.49,55.0
2.20,34.0
2.31,39.0
2.20,30.0
1.51,54.0
1.66,54.0
1.51,54.0
0.95,75.0
1.34,63.0
2.60,22.0
1.29,63.0
0.23,95.0
1.83,42.0
1.34,63.0
1.08,71.0
0.66,83.0
355.71,264.06,-49.0,95.0,62.2,27.01
