Map,scenarios/1_switch/basic_animated/ba_cf.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.94,62.0
1.06,62.0
8.54,-343.0
8.54,-349.0
8.54,-346.0
1.06,62.0
8.54,-344.0
8.54,-344.0
8.54,-345.0
8.54,-345.0
8.54,-343.0
1.46,45.0
8.54,-345.0
8.54,-344.0
0.63,79.0
0.63,79.0
8.54,-348.0
0.63,78.0
8.54,-349.0
0.63,79.0
8.54,-345.0
0.63,79.0
8.54,-349.0
8.54,-343.0
8.55,-347.0
8.54,-345.0
1.06,62.0
8.57,-346.0
0.63,79.0
0.23,95.0
0.63,79.0
0.23,95.0
8.57,-350.0
8.57,-346.0
1.06,62.0
8.57,-342.0
0.23,95.0
8.54,-345.0
0.63,78.0
0.63,79.0
0.63,79.0
8.57,-346.0
0.23,94.0
8.54,-346.0
8.54,-347.0
8.54,-346.0
8.54,-346.0
8.54,-344.0
1.83,29.0
0.63,79.0
8.54,-345.0
1.06,62.0
1.06,62.0
8.57,-346.0
1.43,46.0
0.23,95.0
0.22,95.0
0.23,95.0
0.63,79.0
1.06,62.0
8.54,-346.0
8.54,-345.0
8.54,-345.0
8.54,-346.0
8.54,-342.0
8.54,-345.0
8.54,-347.0
1.06,62.0
1.46,45.0
8.54,-345.0
0.23,95.0
0.23,95.0
0.22,95.0
0.23,95.0
1.06,62.0
0.63,79.0
1.03,62.0
8.54,-347.0
0.63,79.0
0.23,95.0
0.23,95.0
0.60,79.0
0.23,95.0
8.57,-346.0
8.54,-344.0
0.23,95.0
1.03,62.0
0.23,95.0
0.23,95.0
8.54,-346.0
0.63,79.0
8.54,-348.0
0.23,95.0
8.54,-344.0
8.54,-345.0
8.54,-346.0
8.54,-345.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.06,62.0
8.54,-344.0
8.54,-346.0
8.54,-345.0
6.63,-166.0
8.57,-346.0
0.63,79.0
8.54,-344.0
0.23,95.0
8.54,-345.0
8.54,-342.0
1.06,62.0
0.63,79.0
1.06,62.0
8.54,-346.0
0.23,95.0
1.06,62.0
1.43,46.0
8.54,-345.0
0.63,79.0
0.63,79.0
2.23,14.0
1.06,62.0
8.54,-345.0
8.54,-346.0
8.54,-347.0
0.63,78.0
0.63,79.0
1.06,62.0
8.54,-345.0
8.54,-346.0
1.06,62.0
8.54,-348.0
8.54,-345.0
8.54,-344.0
1.46,45.0
8.57,-346.0
0.63,79.0
8.54,-347.0
0.23,95.0
0.23,95.0
0.63,79.0
1.06,62.0
8.54,-342.0
1.06,62.0
8.54,-345.0
8.54,-344.0
0.63,78.0
8.54,-345.0
1.05,62.0
8.54,-349.0
8.54,-345.0
8.57,-346.0
0.63,78.0
1.06,62.0
8.57,-342.0
8.54,-344.0
1.43,46.0
8.57,-346.0
8.57,-346.0
1.06,62.0
8.54,-345.0
8.57,-346.0
8.54,-344.0
0.63,79.0
0.23,95.0
8.54,-342.0
0.23,95.0
8.57,-346.0
1.06,62.0
0.63,79.0
0.62,79.0
8.54,-344.0
1.05,62.0
0.63,79.0
8.54,-346.0
0.63,79.0
1.06,62.0
8.57,-346.0
0.23,95.0
8.57,-346.0
8.54,-343.0
8.54,-347.0
1.43,46.0
8.57,-346.0
1.43,46.0
8.55,-344.0
2.63,-2.0
1.06,62.0
0.63,79.0
1.03,62.0
8.54,-345.0
8.55,-345.0
8.65,-351.0
0.22,95.0
8.54,-345.0
1.06,62.0
8.54,-345.0
0.62,79.0
988.53,896.93,-351.0,95.0,-126.31,209.52
