Map,scenarios/1_switch/basic_animated/ba_f.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
8.54,-219.0
8.54,-335.0
0.94,75.0
1.34,59.0
0.91,75.0
8.57,-306.0
0.80,79.0
0.51,87.0
1.20,63.0
0.80,79.0
0.94,75.0
8.54,-339.0
1.20,63.0
0.80,79.0
8.54,-316.0
8.54,-316.0
0.80,79.0
8.54,-334.0
0.23,95.0
8.54,-309.0
0.91,75.0
8.54,-331.0
0.51,87.0
1.20,63.0
0.51,87.0
0.80,79.0
8.54,-314.0
0.80,79.0
8.54,-315.0
0.23,95.0
8.54,-256.0
0.23,95.0
0.94,75.0
8.54,-319.0
8.54,-312.0
0.51,87.0
0.23,95.0
1.34,59.0
8.54,-326.0
8.54,-329.0
8.54,-254.0
8.54,-313.0
0.63,78.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
8.54,-323.0
8.54,-246.0
1.20,63.0
8.54,-342.0
8.54,-335.0
8.54,-334.0
8.54,-330.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-324.0
8.54,-331.0
1.34,59.0
8.54,-307.0
1.31,57.0
0.51,87.0
0.80,78.0
0.80,79.0
8.55,-297.0
8.54,-325.0
8.54,-335.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-326.0
8.54,-258.0
8.57,-316.0
0.51,87.0
0.80,79.0
0.23,95.0
0.77,77.0
2.89,0.0
0.23,95.0
1.20,63.0
0.80,79.0
0.23,95.0
8.54,-316.0
0.23,95.0
0.23,95.0
8.54,-332.0
8.54,-332.0
8.54,-332.0
0.23,95.0
0.94,75.0
0.77,79.0
8.54,-314.0
8.54,-317.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-248.0
0.63,83.0
1.20,63.0
0.51,87.0
8.54,-331.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.20,63.0
0.80,79.0
8.54,-330.0
8.57,-331.0
8.54,-331.0
0.23,95.0
0.23,95.0
8.54,-260.0
8.54,-322.0
0.37,91.0
8.54,-316.0
8.54,-256.0
8.54,-331.0
8.54,-256.0
0.94,75.0
0.94,75.0
0.94,74.0
8.54,-254.0
8.57,-341.0
8.54,-308.0
0.80,79.0
0.51,87.0
8.54,-323.0
0.80,79.0
0.66,83.0
0.80,79.0
8.54,-338.0
8.54,-323.0
8.54,-333.0
0.80,79.0
0.23,94.0
0.23,95.0
8.54,-314.0
8.54,-329.0
0.80,79.0
8.54,-345.0
8.57,-315.0
0.51,87.0
0.80,79.0
8.57,-321.0
8.57,-330.0
0.80,79.0
0.80,79.0
1.74,42.0
8.54,-338.0
8.54,-309.0
0.52,87.0
1.34,59.0
8.54,-329.0
0.80,79.0
1.20,63.0
8.54,-249.0
0.80,79.0
1.20,63.0
0.77,79.0
8.54,-334.0
0.23,95.0
0.80,79.0
0.23,95.0
0.80,79.0
8.54,-310.0
8.54,-322.0
8.54,-334.0
0.80,79.0
8.54,-324.0
8.54,-251.0
1.20,63.0
8.54,-310.0
8.57,-326.0
8.57,-316.0
0.23,95.0
0.80,79.0
0.51,87.0
8.54,-319.0
8.57,-341.0
0.94,75.0
8.54,-333.0
8.57,-321.0
8.54,-343.0
8.57,-336.0
8.57,-316.0
8.54,-265.0
0.80,79.0
0.91,75.0
0.75,78.0
0.77,75.0
1.14,63.0
8.54,-328.0
8.54,-338.0
8.54,-323.0
915.30,823.71,-345.0,95.0,-91.21,196.61
