Map,scenarios/1_switch/basic_animated/ba_f.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.69,79.0
1.06,62.0
8.54,-342.0
8.54,-345.0
8.57,-346.0
8.54,-346.0
8.57,-346.0
8.54,-345.0
8.54,-344.0
8.54,-341.0
8.54,-344.0
1.06,62.0
8.54,-344.0
8.54,-348.0
0.63,79.0
0.63,79.0
8.54,-344.0
0.63,79.0
8.54,-344.0
0.63,79.0
8.54,-346.0
0.63,79.0
8.54,-343.0
8.55,-345.0
8.54,-344.0
8.54,-348.0
3.86,-47.0
8.54,-344.0
0.63,79.0
0.23,95.0
0.63,79.0
0.23,95.0
8.54,-346.0
8.57,-350.0
8.54,-342.0
8.57,-346.0
0.23,95.0
8.54,-344.0
0.63,78.0
0.63,79.0
0.63,79.0
8.57,-341.0
0.23,95.0
8.54,-345.0
8.54,-348.0
8.54,-346.0
8.54,-344.0
8.54,-344.0
1.03,62.0
0.63,79.0
8.57,-346.0
8.54,-334.0
1.06,62.0
8.57,-341.0
1.03,62.0
0.23,95.0
0.23,95.0
0.23,95.0
0.63,79.0
1.05,62.0
8.54,-344.0
8.54,-342.0
8.54,-345.0
8.54,-345.0
8.54,-345.0
8.54,-345.0
8.54,-347.0
8.54,-340.0
1.06,62.0
8.57,-342.0
0.23,95.0
0.23,95.0
0.23,95.0
0.22,95.0
1.06,62.0
0.63,79.0
8.54,-345.0
8.54,-346.0
0.63,79.0
0.23,95.0
0.23,95.0
0.63,79.0
0.23,95.0
8.54,-344.0
8.54,-346.0
0.23,95.0
8.54,-334.0
0.23,95.0
0.23,95.0
0.63,79.0
0.63,79.0
8.54,-345.0
0.23,95.0
8.55,-343.0
8.55,-344.0
8.54,-344.0
8.54,-344.0
0.23,95.0
0.22,95.0
0.23,95.0
0.23,95.0
8.43,-225.0
8.54,-344.0
8.54,-345.0
8.54,-341.0
1.06,62.0
8.54,-345.0
0.63,79.0
8.54,-345.0
0.23,95.0
8.54,-345.0
8.54,-344.0
8.54,-340.0
0.63,79.0
8.54,-344.0
8.54,-341.0
0.23,95.0
8.54,-344.0
1.06,62.0
8.54,-345.0
0.62,79.0
0.63,79.0
1.06,62.0
8.54,-336.0
8.57,-346.0
8.54,-345.0
8.54,-345.0
0.62,79.0
0.60,79.0
4.00,-51.0
8.57,-342.0
8.54,-345.0
1.06,62.0
8.54,-346.0
8.57,-346.0
8.57,-346.0
1.02,61.0
8.55,-346.0
0.63,79.0
8.54,-344.0
0.23,95.0
0.23,95.0
0.63,82.0
1.03,62.0
8.54,-344.0
1.06,62.0
8.54,-344.0
8.54,-344.0
0.63,79.0
8.54,-346.0
4.26,-63.0
8.57,-346.0
8.54,-344.0
8.57,-342.0
0.63,79.0
1.06,62.0
8.54,-344.0
8.54,-345.0
1.05,62.0
8.54,-344.0
8.57,-346.0
8.54,-344.0
8.54,-344.0
8.54,-342.0
8.57,-346.0
0.63,79.0
0.23,95.0
8.54,-346.0
0.23,95.0
8.54,-344.0
1.03,62.0
0.63,79.0
0.63,79.0
8.57,-346.0
1.06,62.0
0.63,78.0
8.54,-348.0
0.63,79.0
8.57,-346.0
8.54,-341.0
0.23,95.0
8.54,-344.0
8.57,-346.0
8.55,-349.0
1.03,62.0
8.54,-348.0
1.43,46.0
8.54,-346.0
1.06,62.0
3.06,-19.0
0.63,79.0
8.54,-337.0
8.57,-346.0
8.57,-346.0
8.57,-346.0
0.23,95.0
8.54,-345.0
5.74,-122.0
8.54,-344.0
0.63,79.0
1088.81,997.23,-350.0,95.0,-152.015,208.67
