Map,scenarios/1_switch/basic_animated/ba_fw.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
8.54,-216.0
3.55,-23.0
0.94,75.0
2.03,34.0
0.94,75.0
8.57,-316.0
1.06,67.0
0.77,75.0
1.34,59.0
1.06,67.0
0.95,75.0
2.49,17.0
1.09,66.0
0.94,70.0
0.80,74.0
8.57,-261.0
0.91,75.0
1.48,50.0
0.23,95.0
8.54,-255.0
0.92,71.0
1.60,40.0
0.77,75.0
1.77,47.0
0.80,74.0
0.95,75.0
8.54,-301.0
6.02,-114.0
1.06,66.0
0.23,95.0
3.40,-19.0
0.23,95.0
0.94,75.0
0.77,74.0
8.54,-272.0
0.94,70.0
0.23,95.0
1.17,67.0
8.54,-295.0
8.57,-306.0
1.94,32.0
1.34,54.0
0.63,79.0
0.91,71.0
0.80,79.0
0.66,83.0
0.94,70.0
0.94,69.0
2.48,17.0
1.20,58.0
1.23,67.0
1.80,41.0
8.54,-313.0
8.57,-311.0
2.09,33.0
0.23,95.0
0.23,95.0
0.23,95.0
0.80,74.0
8.57,-311.0
1.06,71.0
0.77,75.0
0.94,75.0
0.37,91.0
0.94,75.0
0.80,79.0
0.77,75.0
1.37,58.0
2.29,20.0
2.17,24.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
2.34,26.0
1.08,66.0
2.06,29.0
0.77,75.0
1.32,54.0
0.23,95.0
0.63,79.0
0.94,70.0
0.23,95.0
1.23,62.0
1.09,66.0
0.23,95.0
8.54,-317.0
0.20,95.0
0.34,95.0
8.54,-312.0
0.80,74.0
0.77,75.0
0.23,95.0
2.06,29.0
0.91,71.0
0.91,71.0
0.91,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-304.0
1.22,57.0
0.91,75.0
0.77,75.0
8.54,-310.0
8.57,-301.0
1.20,58.0
0.37,91.0
0.23,95.0
1.34,59.0
0.94,75.0
8.54,-305.0
0.80,74.0
8.57,-297.0
0.22,95.0
0.22,95.0
8.57,-266.0
2.34,21.0
0.77,75.0
8.57,-261.0
1.49,50.0
8.57,-316.0
8.54,-250.0
2.83,6.0
1.09,66.0
0.94,75.0
1.20,58.0
8.54,-307.0
4.86,-67.0
0.94,70.0
1.23,57.0
8.54,-294.0
0.80,79.0
0.66,83.0
0.66,83.0
2.74,4.0
0.80,74.0
8.54,-304.0
0.91,71.0
0.23,95.0
0.22,95.0
8.57,-261.0
8.57,-316.0
0.66,83.0
2.32,26.0
0.80,74.0
0.37,91.0
1.20,58.0
0.80,74.0
2.14,30.0
3.03,-4.0
0.91,69.0
1.34,58.0
0.80,74.0
1.51,49.0
2.80,0.0
1.23,67.0
2.46,17.0
1.49,50.0
1.48,50.0
1.77,47.0
0.94,70.0
0.94,75.0
1.06,67.0
8.54,-299.0
0.23,95.0
1.49,50.0
0.23,95.0
0.94,75.0
8.54,-310.0
1.34,54.0
8.54,-310.0
0.94,70.0
1.23,62.0
8.57,-301.0
2.20,30.0
1.51,49.0
8.54,-316.0
0.66,83.0
0.23,95.0
0.66,83.0
1.86,33.0
1.17,58.0
2.48,17.0
1.23,67.0
3.34,-17.0
0.77,75.0
3.06,1.0
1.20,63.0
1.77,36.0
2.06,29.0
0.63,83.0
0.66,83.0
0.94,75.0
0.63,79.0
0.94,75.0
1.29,57.0
8.57,-309.0
1.34,54.0
567.22,475.67,-317.0,95.0,3.975,136.08
