Map,scenarios/1_switch/basic_animated/ba_fw.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.54,79.0
1.06,62.0
8.54,-343.0
8.54,-347.0
8.57,-346.0
1.06,62.0
8.57,-346.0
8.54,-347.0
8.54,-345.0
8.54,-344.0
8.54,-339.0
1.43,46.0
8.57,-350.0
8.55,-350.0
0.63,78.0
8.54,-341.0
8.54,-351.0
8.54,-343.0
8.57,-346.0
0.63,79.0
8.54,-344.0
0.63,77.0
8.54,-344.0
8.54,-348.0
8.54,-347.0
8.54,-345.0
1.03,62.0
8.57,-346.0
0.63,78.0
0.23,94.0
8.54,-347.0
0.23,95.0
8.54,-340.0
8.54,-348.0
0.77,75.0
8.54,-347.0
0.23,95.0
8.54,-349.0
0.63,79.0
0.77,75.0
8.57,-345.0
0.63,79.0
0.23,95.0
8.54,-341.0
8.54,-345.0
8.57,-342.0
8.54,-334.0
8.54,-347.0
3.17,-24.0
0.63,79.0
8.54,-348.0
1.03,62.0
1.20,58.0
8.54,-336.0
1.06,62.0
0.23,95.0
0.23,95.0
0.23,95.0
0.63,79.0
1.05,62.0
8.55,-349.0
8.57,-346.0
8.54,-354.0
8.54,-348.0
8.54,-348.0
8.54,-348.0
8.54,-345.0
1.17,58.0
1.02,62.0
8.54,-344.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.06,62.0
0.71,79.0
1.03,62.0
8.54,-347.0
0.63,79.0
0.23,95.0
0.23,95.0
0.63,79.0
0.23,95.0
8.54,-347.0
8.54,-350.0
0.23,95.0
8.54,-336.0
0.23,95.0
0.23,95.0
0.77,75.0
0.62,79.0
8.54,-346.0
0.23,95.0
8.54,-340.0
8.54,-345.0
8.54,-345.0
8.54,-343.0
0.23,94.0
0.23,95.0
0.23,95.0
0.23,95.0
1.06,62.0
8.57,-346.0
8.54,-348.0
8.54,-349.0
2.37,8.0
8.54,-345.0
0.77,75.0
8.54,-343.0
0.23,95.0
8.57,-346.0
8.54,-344.0
8.57,-336.0
0.63,78.0
1.06,62.0
8.54,-346.0
0.23,95.0
8.57,-350.0
1.46,45.0
8.54,-342.0
0.63,79.0
0.63,81.0
5.60,-111.0
1.06,62.0
8.54,-348.0
8.54,-348.0
8.54,-344.0
0.63,78.0
0.63,79.0
1.06,62.0
8.54,-346.0
8.54,-350.0
1.17,58.0
8.54,-347.0
8.54,-342.0
8.54,-345.0
1.02,62.0
0.60,79.0
0.77,75.0
8.54,-345.0
0.23,95.0
0.23,95.0
1.05,62.0
1.03,62.0
8.54,-345.0
1.06,62.0
8.54,-346.0
8.54,-345.0
0.63,79.0
8.54,-342.0
1.06,62.0
8.54,-349.0
8.54,-345.0
8.57,-346.0
0.63,79.0
1.06,62.0
8.55,-345.0
8.54,-340.0
1.20,58.0
8.54,-339.0
8.54,-341.0
1.06,62.0
8.54,-344.0
8.57,-346.0
8.54,-340.0
0.63,79.0
0.23,95.0
8.54,-344.0
0.23,95.0
8.57,-346.0
1.06,62.0
8.54,-339.0
0.63,79.0
8.57,-341.0
1.06,62.0
0.63,79.0
8.54,-340.0
0.63,79.0
1.06,62.0
8.57,-341.0
0.23,95.0
8.54,-345.0
8.54,-346.0
8.54,-339.0
1.03,61.0
8.57,-350.0
1.43,49.0
8.57,-346.0
1.06,62.0
1.03,62.0
8.54,-346.0
0.77,75.0
8.54,-345.0
8.57,-346.0
8.54,-340.0
0.23,95.0
8.54,-344.0
1.06,62.0
8.57,-342.0
0.63,79.0
1032.16,940.60,-354.0,95.0,-137.795,209.93
