Map,scenarios/1_switch/basic_animated/ba_w.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.57,38.0
8.55,-330.0
6.94,-164.0
1.97,26.0
1.77,36.0
8.54,-326.0
1.43,46.0
0.63,79.0
1.06,71.0
1.43,46.0
2.51,6.0
6.97,-156.0
1.94,32.0
2.37,10.0
8.54,-352.0
2.77,-7.0
1.34,54.0
8.57,-326.0
0.23,95.0
1.43,46.0
1.17,57.0
1.71,38.0
1.20,58.0
1.37,53.0
1.05,62.0
1.34,54.0
6.17,-128.0
1.57,42.0
1.20,58.0
0.23,95.0
8.54,-326.0
0.20,95.0
1.80,36.0
0.80,74.0
8.54,-327.0
1.97,25.0
0.23,95.0
1.20,62.0
8.57,-331.0
8.54,-217.0
6.57,-154.0
3.63,-35.0
0.63,78.0
1.71,38.0
1.57,42.0
1.17,58.0
1.86,33.0
0.77,75.0
6.37,-145.0
1.20,58.0
1.31,58.0
4.06,-53.0
2.66,2.0
6.43,-143.0
8.57,-331.0
0.23,94.0
0.23,95.0
0.23,94.0
1.20,58.0
8.31,-218.0
1.34,59.0
3.83,-51.0
3.54,-35.0
1.03,61.0
1.17,57.0
7.51,-184.0
0.77,75.0
8.57,-326.0
8.54,-325.0
4.49,-69.0
0.23,95.0
0.23,95.0
0.20,94.0
0.23,95.0
8.54,-331.0
1.60,41.0
3.20,-21.0
2.23,14.0
1.17,56.0
0.23,95.0
0.62,79.0
1.20,58.0
0.23,95.0
2.51,5.0
1.26,57.0
0.23,95.0
3.80,-43.0
0.23,95.0
0.23,95.0
2.34,16.0
1.20,58.0
0.63,79.0
0.23,95.0
1.34,54.0
1.34,53.0
0.63,79.0
3.03,-19.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-331.0
1.20,58.0
1.34,54.0
1.20,58.0
6.26,-135.0
1.97,25.0
2.91,-10.0
0.77,75.0
0.23,95.0
1.80,41.0
2.91,-11.0
6.20,-132.0
1.57,42.0
2.69,0.0
0.23,95.0
0.23,95.0
2.34,16.0
8.54,-318.0
0.77,75.0
4.66,-79.0
6.26,-134.0
8.54,-324.0
3.40,-24.0
1.34,54.0
1.71,38.0
3.34,-27.0
6.29,-142.0
6.06,-123.0
8.54,-324.0
0.77,75.0
0.77,75.0
8.54,-322.0
1.57,42.0
1.57,42.0
1.31,54.0
8.54,-324.0
2.26,18.0
5.20,-89.0
0.91,71.0
0.23,95.0
0.22,95.0
2.43,12.0
4.54,-75.0
0.77,75.0
8.54,-318.0
0.63,77.0
0.77,75.0
3.97,-56.0
0.77,75.0
8.54,-319.0
1.20,58.0
4.11,-52.0
1.20,63.0
2.37,10.0
6.66,-152.0
0.77,75.0
1.51,49.0
8.54,-324.0
1.49,50.0
1.34,54.0
8.54,-335.0
0.77,74.0
1.83,30.0
1.57,42.0
8.57,-331.0
0.23,95.0
1.80,36.0
0.23,95.0
1.77,37.0
8.57,-321.0
1.06,62.0
1.46,45.0
0.77,77.0
8.57,-326.0
1.57,42.0
1.20,63.0
2.40,14.0
2.66,2.0
0.77,74.0
0.23,95.0
2.51,6.0
1.46,45.0
1.83,30.0
7.77,-193.0
1.34,53.0
6.32,-136.0
1.02,62.0
8.54,-327.0
6.97,-165.0
4.60,-68.0
6.06,-123.0
1.57,42.0
8.54,-321.0
1.20,62.0
0.63,79.0
2.34,15.0
8.55,-331.0
2.37,10.0
4.91,-91.0
686.82,595.23,-352.0,95.0,-24.18,138.83
