Map,scenarios/1_switch/basic_animated/ba_w.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,78.0
2.20,25.0
1.71,40.0
1.06,62.0
5.77,-105.0
1.66,45.0
0.74,75.0
0.77,75.0
1.85,34.0
1.31,53.0
1.66,40.0
1.66,50.0
2.06,28.0
1.37,53.0
1.09,66.0
1.05,66.0
1.20,58.0
2.09,28.0
0.23,95.0
1.08,66.0
0.91,71.0
0.94,70.0
0.37,91.0
1.06,62.0
2.06,28.0
1.23,57.0
1.09,66.0
0.91,71.0
2.09,27.0
0.23,95.0
1.37,58.0
0.77,75.0
1.66,40.0
0.92,71.0
1.34,54.0
0.77,73.0
0.23,95.0
2.09,28.0
0.94,70.0
1.23,62.0
1.06,67.0
0.52,87.0
1.35,53.0
0.63,79.0
1.06,62.0
0.63,79.0
1.20,57.0
0.77,75.0
1.63,50.0
0.48,87.0
0.91,72.0
1.51,49.0
2.91,-7.0
1.46,50.0
2.23,24.0
0.23,95.0
0.37,91.0
0.23,95.0
0.51,87.0
2.00,30.0
1.60,41.0
0.62,79.0
2.97,-10.0
0.77,75.0
1.03,61.0
1.48,50.0
0.22,95.0
1.65,44.0
4.43,-60.0
1.77,41.0
0.23,95.0
0.37,91.0
0.23,95.0
0.23,95.0
1.51,54.0
1.17,57.0
3.06,-10.0
1.20,58.0
1.05,66.0
1.34,53.0
1.37,53.0
2.37,20.0
0.37,91.0
3.77,-37.0
0.63,79.0
0.23,95.0
1.66,45.0
0.20,95.0
0.37,91.0
0.51,87.0
0.52,87.0
0.51,87.0
0.77,75.0
1.06,62.0
0.91,71.0
1.09,66.0
2.20,25.0
0.23,95.0
0.23,95.0
0.37,91.0
0.77,75.0
1.17,66.0
0.77,75.0
1.34,54.0
2.23,24.0
1.51,54.0
0.63,78.0
2.29,16.0
0.63,79.0
0.20,95.0
1.46,50.0
2.00,30.0
1.65,45.0
0.51,87.0
1.91,33.0
0.23,95.0
0.37,91.0
1.06,66.0
2.03,29.0
0.23,95.0
1.51,49.0
0.77,79.0
1.48,54.0
1.86,34.0
3.02,-10.0
0.63,79.0
2.77,3.0
1.85,34.0
1.03,67.0
2.20,24.0
0.91,71.0
0.77,75.0
2.91,-1.0
0.92,71.0
1.37,53.0
1.94,32.0
1.62,46.0
0.51,87.0
1.37,58.0
0.63,78.0
0.23,95.0
0.37,91.0
0.91,69.0
1.51,49.0
0.63,79.0
3.83,-38.0
2.40,20.0
0.23,95.0
0.91,71.0
0.63,78.0
2.08,33.0
0.91,71.0
0.63,79.0
1.20,58.0
0.51,87.0
1.49,49.0
0.63,79.0
4.17,-51.0
1.63,46.0
1.66,45.0
1.03,62.0
2.71,4.0
0.77,75.0
1.34,54.0
1.71,38.0
0.51,87.0
0.37,91.0
0.91,71.0
0.37,91.0
0.92,70.0
1.34,58.0
1.37,53.0
0.51,87.0
0.63,79.0
4.91,-76.0
0.51,87.0
1.06,62.0
1.08,66.0
1.51,54.0
0.77,74.0
0.23,95.0
1.94,32.0
0.77,75.0
0.23,95.0
2.80,3.0
1.71,37.0
2.14,29.0
0.77,75.0
1.06,71.0
1.63,46.0
1.51,49.0
2.34,21.0
1.71,41.0
0.91,71.0
2.06,28.0
0.37,91.0
3.46,-21.0
1.51,49.0
1.51,49.0
0.51,87.0
347.11,255.49,-105.0,95.0,57.28,33.11
