Map,scenarios/1_switch/basic_animated/ba_wc.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
5.14,-54.0
8.57,-321.0
2.25,17.0
2.94,-8.0
1.85,34.0
8.55,-324.0
1.86,33.0
0.77,75.0
3.37,-26.0
1.86,34.0
1.85,34.0
8.54,-325.0
2.40,14.0
1.34,54.0
1.17,58.0
8.54,-329.0
1.74,37.0
1.74,37.0
0.22,95.0
1.20,58.0
1.80,38.0
1.32,54.0
0.77,75.0
3.88,-43.0
1.20,58.0
3.60,-35.0
6.46,-140.0
1.85,34.0
1.20,58.0
0.23,95.0
2.26,17.0
0.23,95.0
2.40,13.0
1.34,54.0
2.40,14.0
1.20,58.0
0.23,95.0
3.37,-23.0
1.71,38.0
1.34,54.0
8.54,-330.0
0.77,75.0
0.63,79.0
1.57,41.0
1.75,37.0
1.71,38.0
1.85,34.0
1.34,54.0
6.66,-143.0
1.20,58.0
2.40,14.0
4.83,-80.0
4.83,-79.0
4.43,-63.0
2.80,-2.0
0.23,95.0
0.23,95.0
0.23,95.0
1.17,58.0
8.54,-325.0
2.97,-9.0
0.77,75.0
1.86,32.0
0.77,75.0
2.40,14.0
1.71,38.0
0.77,75.0
2.40,14.0
8.54,-320.0
1.20,58.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-327.0
1.31,54.0
3.74,-39.0
0.63,78.0
1.34,54.0
0.23,95.0
0.63,79.0
1.31,54.0
0.23,95.0
2.80,-2.0
1.17,58.0
0.23,95.0
8.54,-325.0
0.23,95.0
0.23,95.0
1.34,54.0
1.17,58.0
0.63,78.0
0.20,95.0
2.26,17.0
1.34,54.0
0.77,75.0
0.77,75.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
3.49,-30.0
1.18,57.0
1.86,34.0
0.77,75.0
4.46,-64.0
0.77,75.0
1.31,54.0
0.77,75.0
0.23,95.0
2.80,-3.0
1.74,37.0
4.43,-63.0
1.17,61.0
8.54,-324.0
0.23,95.0
0.23,95.0
3.20,-18.0
8.54,-325.0
0.77,74.0
8.55,-329.0
8.54,-326.0
6.45,-143.0
8.54,-324.0
2.40,13.0
1.86,34.0
1.71,35.0
1.86,34.0
8.54,-320.0
3.77,-39.0
1.34,54.0
1.20,58.0
8.55,-321.0
1.74,37.0
1.34,54.0
1.88,33.0
8.54,-324.0
1.34,54.0
2.94,-7.0
1.34,54.0
0.23,94.0
0.23,95.0
2.97,-9.0
8.54,-325.0
2.11,19.0
8.57,-326.0
1.20,58.0
0.77,75.0
1.71,38.0
0.77,75.0
4.29,-59.0
1.86,34.0
1.71,38.0
2.26,18.0
2.37,10.0
3.34,-22.0
0.77,75.0
2.80,-2.0
7.69,-184.0
2.40,14.0
1.85,34.0
8.54,-327.0
1.34,54.0
2.94,-8.0
1.86,34.0
1.34,54.0
0.23,95.0
1.88,33.0
0.23,95.0
1.86,34.0
8.57,-322.0
0.77,75.0
1.31,54.0
1.34,54.0
4.46,-64.0
1.57,42.0
2.80,-2.0
1.17,58.0
8.54,-324.0
1.60,41.0
0.23,95.0
1.74,37.0
1.20,58.0
0.77,75.0
8.54,-324.0
2.40,14.0
2.80,-2.0
0.77,75.0
3.77,-39.0
8.54,-329.0
2.40,14.0
2.80,0.0
1.34,54.0
1.34,54.0
1.89,33.0
0.63,78.0
1.86,34.0
7.80,-194.0
1.34,54.0
0.77,75.0
609.48,517.89,-330.0,95.0,-6.775,127.79
