Map,scenarios/1_switch/basic_animated/ba_wc.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.85,70.0
1.91,38.0
8.54,-318.0
5.08,-56.0
1.66,45.0
1.66,50.0
8.54,-314.0
8.55,-340.0
8.54,-309.0
8.54,-289.0
8.57,-261.0
1.63,45.0
8.57,-312.0
3.54,-23.0
0.94,70.0
1.71,38.0
8.55,-315.0
1.08,71.0
0.37,91.0
0.94,75.0
8.54,-309.0
1.09,71.0
1.77,42.0
8.54,-275.0
1.34,54.0
8.57,-281.0
1.46,59.0
8.54,-313.0
1.09,66.0
0.23,95.0
0.80,79.0
0.80,74.0
3.63,-1.0
4.80,-65.0
3.74,-39.0
0.77,75.0
0.23,95.0
8.54,-344.0
0.91,71.0
1.31,57.0
0.94,75.0
0.80,79.0
0.94,70.0
8.54,-312.0
8.54,-299.0
8.54,-315.0
8.57,-277.0
8.54,-310.0
2.80,-2.0
0.65,83.0
8.54,-320.0
1.89,33.0
1.17,63.0
4.06,-47.0
8.54,-345.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
8.54,-335.0
0.80,74.0
8.54,-267.0
8.54,-341.0
8.54,-299.0
8.57,-286.0
0.23,95.0
0.94,75.0
3.37,-28.0
5.57,-120.0
0.23,94.0
0.37,91.0
0.23,95.0
0.23,95.0
0.94,75.0
2.06,33.0
2.09,43.0
8.54,-329.0
1.77,37.0
0.51,87.0
0.51,87.0
0.94,70.0
3.74,-39.0
8.54,-337.0
8.54,-300.0
0.23,95.0
2.06,24.0
0.23,95.0
1.34,54.0
0.51,87.0
0.66,83.0
0.63,83.0
0.51,87.0
4.37,-41.0
0.77,75.0
0.80,79.0
0.80,74.0
0.23,95.0
0.37,91.0
0.94,70.0
0.80,74.0
1.80,51.0
1.91,38.0
6.71,-139.0
0.91,71.0
1.97,26.0
5.71,-124.0
1.46,50.0
1.91,38.0
0.23,95.0
8.54,-270.0
4.91,-67.0
1.57,49.0
0.51,87.0
1.46,49.0
0.23,95.0
0.23,95.0
4.03,-52.0
2.23,24.0
8.54,-335.0
0.94,75.0
1.20,63.0
1.71,38.0
2.97,-8.0
8.57,-326.0
8.54,-269.0
8.54,-305.0
1.34,58.0
1.22,67.0
1.63,45.0
8.54,-333.0
1.32,53.0
2.03,28.0
3.37,-13.0
5.92,-98.0
8.54,-336.0
4.11,-63.0
0.49,87.0
0.94,75.0
8.55,-306.0
1.34,54.0
0.34,91.0
0.94,75.0
4.37,-70.0
8.55,-300.0
2.66,2.0
1.31,54.0
1.34,54.0
0.66,83.0
1.71,38.0
2.17,33.0
8.54,-321.0
8.54,-336.0
8.57,-336.0
0.80,79.0
1.63,55.0
1.05,62.0
8.57,-346.0
1.97,26.0
8.55,-271.0
8.54,-276.0
2.51,21.0
8.54,-293.0
8.54,-336.0
8.54,-275.0
0.49,87.0
0.23,95.0
8.57,-296.0
0.51,87.0
8.54,-306.0
0.94,75.0
1.46,55.0
0.66,83.0
8.54,-300.0
4.46,-69.0
0.63,83.0
8.55,-272.0
1.23,57.0
1.77,46.0
2.11,21.0
0.37,91.0
8.54,-280.0
4.14,-56.0
1.34,53.0
6.57,-145.0
8.54,-334.0
8.40,-227.0
0.49,87.0
6.49,-150.0
2.23,29.0
1.34,54.0
1.20,63.0
8.54,-306.0
8.54,-334.0
8.54,-293.0
0.94,70.0
8.54,-321.0
2.20,24.0
1.23,62.0
1.34,54.0
816.39,724.82,-346.0,95.0,-55.76,165.88
