Map,scenarios/1_switch/basic_flat/bf_c.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.69,79.0
1.06,71.0
0.89,71.0
1.57,49.0
1.37,58.0
0.94,75.0
0.91,71.0
0.37,90.0
1.75,42.0
1.34,54.0
1.63,46.0
1.08,71.0
2.54,14.0
0.66,83.0
0.52,87.0
0.80,79.0
0.91,70.0
0.80,79.0
0.23,95.0
0.66,83.0
0.66,83.0
0.74,79.0
0.51,86.0
1.77,46.0
0.51,87.0
0.91,71.0
0.94,75.0
1.57,42.0
1.20,63.0
0.23,95.0
0.77,79.0
0.37,91.0
1.65,45.0
1.34,54.0
0.80,79.0
0.51,87.0
0.23,95.0
8.54,-339.0
0.66,83.0
0.77,79.0
0.80,79.0
0.51,87.0
0.37,91.0
2.46,16.0
1.57,42.0
0.66,83.0
0.92,71.0
1.63,45.0
1.31,59.0
0.65,83.0
8.54,-340.0
0.89,75.0
1.17,62.0
0.77,79.0
1.09,71.0
0.23,94.0
0.23,95.0
0.23,95.0
0.66,83.0
1.14,61.0
1.31,59.0
0.51,87.0
1.63,45.0
0.37,91.0
0.89,71.0
0.89,71.0
2.08,28.0
0.94,75.0
1.23,67.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.66,83.0
0.37,91.0
0.37,90.0
0.66,83.0
0.23,95.0
8.54,-339.0
0.63,83.0
0.23,95.0
0.94,75.0
0.37,91.0
0.23,95.0
0.51,87.0
0.65,83.0
0.37,91.0
0.37,90.0
1.63,46.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.37,91.0
0.91,75.0
0.51,87.0
1.63,45.0
0.51,87.0
1.09,71.0
0.51,87.0
0.66,83.0
0.51,87.0
0.23,95.0
1.20,63.0
0.91,71.0
0.80,79.0
0.65,83.0
0.80,79.0
0.23,95.0
0.34,91.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.77,79.0
1.03,71.0
0.88,79.0
1.49,55.0
1.80,41.0
0.91,71.0
0.77,79.0
0.80,78.0
0.94,75.0
1.66,45.0
0.52,87.0
0.94,75.0
0.94,70.0
1.34,54.0
1.31,54.0
1.17,62.0
0.51,87.0
0.80,79.0
0.66,83.0
0.22,95.0
0.23,95.0
0.80,79.0
1.08,71.0
0.91,70.0
1.23,67.0
0.49,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.94,75.0
2.05,28.0
0.66,83.0
1.63,46.0
0.66,83.0
0.94,75.0
0.51,86.0
8.55,-341.0
1.09,71.0
0.92,71.0
1.06,67.0
0.94,75.0
1.66,45.0
1.20,63.0
0.91,71.0
1.17,62.0
0.23,95.0
2.06,29.0
0.23,95.0
0.91,71.0
1.17,62.0
0.35,91.0
0.66,83.0
1.65,44.0
1.06,71.0
0.66,83.0
1.05,67.0
0.66,83.0
1.00,76.0
0.77,75.0
0.23,95.0
1.94,37.0
0.51,87.0
0.74,75.0
1.23,67.0
8.54,-340.0
1.08,71.0
0.37,91.0
1.09,71.0
0.94,75.0
0.77,78.0
0.80,79.0
2.57,12.0
1.29,54.0
0.91,70.0
0.37,91.0
1.97,28.0
0.94,75.0
0.80,79.0
0.51,87.0
302.71,211.13,-341.0,95.0,64.245,66.97
