Map,scenarios/1_switch/basic_flat/bf_cf.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.66,79.0
1.09,71.0
1.69,45.0
0.89,71.0
1.37,58.0
0.94,75.0
0.91,71.0
0.37,91.0
1.63,46.0
1.34,54.0
0.89,71.0
1.08,71.0
1.23,67.0
1.57,42.0
0.51,87.0
0.74,79.0
0.91,71.0
0.80,79.0
0.23,95.0
0.65,83.0
0.66,83.0
0.66,83.0
0.48,87.0
1.49,55.0
0.51,87.0
0.91,71.0
0.94,75.0
1.57,42.0
1.20,62.0
0.23,95.0
0.80,79.0
0.37,91.0
1.66,45.0
1.34,54.0
0.80,79.0
0.51,87.0
0.23,95.0
8.54,-339.0
0.66,83.0
0.74,79.0
0.80,79.0
0.51,87.0
0.37,91.0
0.63,79.0
1.57,42.0
0.66,83.0
0.91,71.0
1.66,45.0
1.09,71.0
0.65,83.0
8.54,-348.0
0.94,75.0
1.31,60.0
0.80,79.0
1.14,66.0
0.23,95.0
0.23,95.0
0.23,95.0
0.63,83.0
0.94,74.0
1.97,26.0
0.51,87.0
1.03,67.0
0.37,91.0
0.91,71.0
0.91,71.0
2.09,28.0
0.94,75.0
1.23,67.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,94.0
0.23,95.0
0.94,75.0
0.80,79.0
0.91,75.0
0.37,91.0
0.66,83.0
0.37,91.0
0.37,91.0
0.66,83.0
0.23,95.0
8.54,-331.0
0.66,83.0
0.23,95.0
0.94,75.0
0.37,91.0
0.23,95.0
0.51,87.0
0.66,83.0
0.37,91.0
0.37,91.0
1.83,34.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.37,91.0
0.94,75.0
0.51,87.0
1.85,37.0
0.51,87.0
1.09,71.0
0.51,87.0
0.63,83.0
0.51,87.0
0.23,95.0
1.57,46.0
0.92,71.0
0.80,79.0
0.65,83.0
0.77,79.0
0.23,95.0
0.37,91.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,79.0
1.40,53.0
0.86,75.0
1.49,55.0
1.00,71.0
1.37,58.0
0.80,79.0
0.77,79.0
0.94,75.0
0.63,79.0
0.51,87.0
0.91,75.0
2.05,28.0
1.34,54.0
1.34,54.0
1.06,71.0
0.51,87.0
0.77,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.09,71.0
2.03,29.0
1.23,67.0
0.51,87.0
0.23,95.0
0.66,83.0
0.51,86.0
0.94,75.0
2.09,28.0
0.66,83.0
1.63,46.0
0.66,83.0
0.94,75.0
0.51,87.0
8.54,-341.0
1.09,71.0
0.91,71.0
1.49,49.0
0.94,75.0
1.66,45.0
1.20,63.0
0.91,71.0
0.66,83.0
0.23,95.0
2.06,29.0
0.23,95.0
0.91,71.0
1.08,71.0
0.51,87.0
0.66,83.0
0.63,79.0
1.09,71.0
0.66,83.0
1.66,45.0
0.66,83.0
0.91,75.0
0.77,75.0
0.23,95.0
1.74,45.0
0.51,87.0
1.63,45.0
1.23,67.0
8.57,-341.0
1.34,58.0
0.37,91.0
1.09,71.0
0.94,75.0
0.80,79.0
0.80,79.0
1.94,37.0
1.34,54.0
0.91,71.0
0.37,91.0
1.09,66.0
0.94,75.0
0.80,79.0
0.51,87.0
300.25,208.64,-348.0,95.0,64.705,66.88
