Map,scenarios/1_switch/basic_flat/bf_cf.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.57,-237.0
8.54,-243.0
8.57,-241.0
8.54,-244.0
8.54,-239.0
8.57,-241.0
8.57,-241.0
8.66,-241.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-242.0
8.54,-242.0
8.54,-242.0
8.57,-237.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-241.0
8.54,-241.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-244.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.57,-241.0
8.54,-239.0
8.54,-242.0
8.57,-241.0
8.54,-242.0
8.54,-240.0
8.54,-239.0
8.57,-237.0
8.54,-239.0
8.54,-239.0
8.54,-246.0
8.54,-244.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.54,-242.0
8.54,-243.0
8.54,-243.0
8.54,-241.0
8.54,-237.0
8.57,-241.0
8.54,-240.0
8.57,-245.0
8.54,-239.0
8.54,-246.0
8.54,-239.0
8.54,-241.0
8.54,-241.0
8.54,-242.0
8.54,-241.0
8.54,-239.0
8.54,-240.0
8.54,-242.0
8.54,-238.0
8.54,-244.0
8.54,-241.0
8.54,-239.0
8.54,-242.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-237.0
8.54,-247.0
8.54,-239.0
8.54,-239.0
8.54,-242.0
8.54,-239.0
8.54,-248.0
8.54,-237.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-245.0
8.54,-239.0
8.54,-240.0
8.54,-237.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-242.0
8.57,-249.0
8.54,-241.0
8.54,-240.0
8.54,-238.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.55,-242.0
8.54,-239.0
1.06,71.0
8.54,-242.0
8.54,-245.0
8.54,-245.0
8.54,-239.0
8.54,-240.0
8.57,-237.0
8.54,-242.0
8.54,-246.0
8.57,-249.0
8.54,-243.0
8.54,-245.0
8.54,-239.0
8.54,-240.0
8.57,-237.0
8.54,-240.0
8.54,-241.0
8.57,-241.0
8.54,-239.0
8.54,-244.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-241.0
8.57,-241.0
8.54,-239.0
8.57,-245.0
8.54,-242.0
8.54,-237.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.57,-241.0
8.54,-240.0
8.54,-241.0
8.54,-239.0
8.54,-240.0
8.55,-244.0
8.54,-246.0
8.57,-241.0
8.54,-239.0
8.54,-239.0
8.57,-241.0
8.54,-244.0
8.54,-241.0
8.54,-241.0
8.54,-241.0
8.54,-242.0
8.54,-241.0
8.54,-240.0
8.54,-238.0
8.54,-240.0
8.54,-241.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.54,-243.0
8.54,-242.0
8.57,-241.0
8.54,-240.0
8.54,-243.0
8.54,-245.0
8.54,-244.0
8.54,-245.0
8.54,-241.0
8.54,-239.0
8.54,-241.0
8.57,-241.0
8.54,-244.0
8.55,-241.0
8.55,-242.0
8.54,-241.0
8.54,-242.0
8.54,-241.0
8.54,-241.0
8.54,-243.0
8.54,-241.0
8.54,-239.0
8.54,-242.0
8.54,-244.0
8.54,-237.0
8.54,-240.0
8.57,-241.0
8.57,-241.0
8.57,-241.0
8.54,-243.0
8.54,-239.0
1786.46,1694.93,-249.0,79.0,-237.635,31.50
