Map,scenarios/1_switch/basic_flat/bf_cfm.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.65,79.0
1.23,67.0
1.83,32.0
0.91,71.0
0.77,73.0
0.94,75.0
1.57,42.0
0.37,91.0
1.03,64.0
0.86,70.0
0.89,70.0
1.31,57.0
1.03,66.0
0.77,79.0
0.65,83.0
1.28,56.0
0.77,74.0
0.77,79.0
0.23,95.0
0.66,83.0
0.66,83.0
0.77,79.0
0.51,87.0
1.09,66.0
0.51,87.0
0.77,74.0
0.94,75.0
1.66,40.0
1.20,63.0
0.23,95.0
0.77,79.0
0.51,87.0
1.66,45.0
0.66,83.0
1.34,59.0
0.51,87.0
0.51,87.0
1.20,63.0
0.80,79.0
0.80,79.0
0.80,79.0
0.66,83.0
0.51,87.0
0.63,79.0
0.77,73.0
0.66,83.0
1.06,62.0
0.65,83.0
1.09,71.0
1.34,57.0
1.06,66.0
0.94,75.0
1.48,54.0
0.91,75.0
1.23,67.0
0.23,95.0
0.23,94.0
0.23,95.0
1.20,63.0
1.48,54.0
1.03,67.0
0.51,87.0
1.66,45.0
0.51,87.0
0.77,73.0
1.43,46.0
0.37,91.0
0.94,75.0
1.20,67.0
0.60,88.0
0.37,91.0
0.22,94.0
0.23,95.0
0.23,95.0
0.94,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.77,79.0
0.23,95.0
1.09,71.0
0.66,83.0
0.23,95.0
0.91,75.0
0.49,87.0
0.23,95.0
0.65,83.0
1.20,63.0
0.66,83.0
0.51,87.0
1.66,45.0
0.57,83.0
0.66,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,74.0
0.51,87.0
1.66,45.0
0.45,87.0
1.11,67.0
0.48,87.0
0.74,78.0
0.51,87.0
0.23,95.0
1.06,66.0
1.06,62.0
0.94,75.0
1.20,62.0
0.94,75.0
0.23,95.0
0.34,91.0
0.94,75.0
1.09,71.0
0.23,95.0
0.80,78.0
1.74,42.0
1.63,51.0
1.34,59.0
1.09,66.0
0.60,79.0
0.77,73.0
0.80,79.0
0.74,79.0
0.94,75.0
0.66,83.0
0.51,87.0
1.09,71.0
1.06,62.0
0.66,83.0
0.66,83.0
1.63,50.0
1.17,63.0
1.31,58.0
0.77,79.0
0.23,95.0
0.23,95.0
1.34,59.0
1.08,71.0
0.63,79.0
1.22,67.0
0.60,87.0
0.23,95.0
0.80,79.0
0.51,87.0
0.94,75.0
1.66,40.0
0.66,83.0
1.20,63.0
1.20,63.0
1.49,55.0
0.49,87.0
1.20,63.0
2.77,8.0
1.94,32.0
1.65,45.0
1.49,55.0
0.66,83.0
0.91,71.0
1.06,62.0
1.20,62.0
0.23,95.0
0.63,79.0
0.23,95.0
1.43,46.0
1.05,71.0
0.51,87.0
1.20,63.0
0.77,79.0
1.23,67.0
0.66,83.0
0.89,71.0
1.14,63.0
0.94,75.0
0.66,83.0
0.23,95.0
1.66,40.0
0.51,87.0
0.37,91.0
1.23,67.0
1.20,63.0
1.49,54.0
0.51,87.0
1.63,51.0
1.49,55.0
0.77,79.0
1.34,59.0
0.65,83.0
0.66,83.0
1.06,62.0
0.51,87.0
1.06,62.0
0.94,75.0
0.80,79.0
0.66,83.0
265.14,173.55,8.0,95.0,74.32,15.33
