Map,scenarios/1_switch/basic_flat/bf_cfm.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.69,79.0
1.09,71.0
1.06,62.0
1.03,64.0
1.06,62.0
0.77,79.0
1.06,62.0
0.63,79.0
1.03,62.0
1.97,26.0
1.05,62.0
1.08,71.0
1.43,46.0
1.05,62.0
0.51,87.0
0.77,79.0
1.06,62.0
0.65,83.0
0.23,95.0
0.52,87.0
0.63,79.0
0.66,83.0
1.57,42.0
1.02,62.0
1.57,42.0
1.05,62.0
0.94,75.0
1.06,62.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
1.06,62.0
0.63,78.0
0.80,79.0
0.63,78.0
0.23,95.0
1.03,62.0
0.66,83.0
0.66,83.0
0.80,79.0
0.37,91.0
0.77,75.0
0.63,79.0
1.57,42.0
0.63,79.0
1.06,62.0
0.63,79.0
0.94,75.0
0.49,87.0
1.06,62.0
0.94,75.0
0.94,75.0
0.77,79.0
1.03,71.0
0.23,95.0
0.23,94.0
0.23,95.0
0.51,87.0
0.94,75.0
1.05,62.0
1.05,62.0
1.46,45.0
0.63,79.0
1.03,62.0
1.06,62.0
0.23,95.0
0.94,74.0
1.05,71.0
1.06,62.0
0.22,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.75,83.0
0.80,79.0
0.63,79.0
0.66,83.0
0.23,95.0
0.77,75.0
0.66,83.0
0.23,95.0
1.06,62.0
0.63,79.0
0.23,95.0
0.80,79.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.77,75.0
0.23,95.0
1.06,62.0
0.63,79.0
0.49,87.0
0.63,79.0
0.22,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.63,79.0
1.06,62.0
0.63,79.0
0.94,75.0
1.57,42.0
0.66,83.0
0.63,79.0
0.23,95.0
1.06,62.0
1.03,62.0
0.77,79.0
0.51,86.0
0.80,79.0
0.23,95.0
0.23,95.0
0.77,79.0
0.94,75.0
0.23,95.0
0.63,83.0
0.80,79.0
0.94,75.0
0.80,79.0
2.63,-3.0
0.63,78.0
1.06,62.0
0.80,79.0
0.66,83.0
0.94,75.0
0.63,79.0
0.62,79.0
0.94,75.0
1.03,61.0
0.63,79.0
1.66,40.0
0.94,75.0
0.51,87.0
0.80,79.0
0.63,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
1.03,62.0
1.08,71.0
0.63,79.0
0.23,95.0
0.63,83.0
1.06,62.0
0.94,75.0
1.06,62.0
0.63,79.0
1.03,62.0
0.51,87.0
0.94,75.0
1.60,44.0
1.06,62.0
0.94,75.0
1.03,62.0
1.06,62.0
0.94,75.0
1.43,46.0
1.06,62.0
1.06,62.0
0.51,87.0
0.23,95.0
0.63,78.0
0.23,95.0
1.06,62.0
0.94,75.0
0.63,78.0
0.51,87.0
0.63,79.0
1.09,71.0
0.51,87.0
1.06,62.0
0.51,87.0
0.80,79.0
1.03,62.0
0.23,95.0
1.57,42.0
1.06,62.0
0.23,95.0
1.09,71.0
1.06,62.0
1.09,71.0
0.63,79.0
0.94,75.0
0.94,75.0
0.66,83.0
0.80,79.0
0.63,78.0
0.63,79.0
1.06,62.0
0.77,75.0
1.43,46.0
0.94,75.0
0.66,83.0
0.37,91.0
248.54,156.91,-3.0,95.0,75.495,14.83
