Map,scenarios/1_switch/basic_flat/bf_cm.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.65,79.0
1.20,67.0
0.77,75.0
1.72,45.0
1.83,30.0
0.94,75.0
1.60,41.0
0.37,91.0
1.20,63.0
1.43,46.0
1.66,45.0
1.23,67.0
0.91,70.0
0.65,83.0
0.66,83.0
0.80,79.0
1.06,62.0
0.77,79.0
0.23,95.0
1.17,63.0
0.66,83.0
0.74,79.0
0.49,87.0
1.09,66.0
0.51,87.0
1.03,62.0
1.46,55.0
1.66,40.0
0.77,79.0
0.23,95.0
0.80,79.0
0.51,87.0
1.66,45.0
0.66,83.0
1.34,58.0
0.51,87.0
0.49,87.0
1.20,63.0
0.80,79.0
0.80,79.0
0.77,79.0
0.66,83.0
0.51,87.0
0.80,79.0
1.65,40.0
0.66,83.0
1.06,62.0
0.66,83.0
1.09,71.0
1.20,63.0
1.20,63.0
1.46,54.0
1.48,55.0
0.92,75.0
1.23,67.0
0.23,95.0
0.23,94.0
0.20,95.0
1.20,63.0
1.49,55.0
1.14,63.0
0.51,87.0
1.63,45.0
0.51,87.0
1.43,49.0
1.43,46.0
0.37,91.0
0.94,75.0
1.23,67.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.06,71.0
0.66,83.0
0.23,95.0
0.95,75.0
0.51,87.0
0.23,95.0
1.17,62.0
1.20,63.0
0.65,83.0
0.51,87.0
1.66,45.0
0.77,79.0
0.66,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.48,87.0
0.94,75.0
0.48,87.0
1.65,45.0
0.51,87.0
1.08,71.0
0.51,87.0
0.80,79.0
0.51,86.0
0.22,95.0
1.03,67.0
1.77,36.0
0.94,75.0
1.20,63.0
0.94,75.0
0.23,95.0
0.37,91.0
0.94,75.0
1.06,71.0
0.23,95.0
0.80,79.0
0.91,75.0
1.63,51.0
1.34,57.0
1.03,66.0
0.63,79.0
2.34,16.0
0.80,78.0
0.80,79.0
0.95,75.0
0.66,83.0
0.51,87.0
1.03,71.0
1.05,62.0
0.66,83.0
0.66,83.0
1.63,51.0
0.66,83.0
0.75,79.0
0.71,84.0
0.20,94.0
0.23,95.0
1.34,59.0
1.06,70.0
0.80,79.0
1.17,67.0
0.51,87.0
0.23,95.0
0.80,79.0
0.51,86.0
0.94,75.0
0.80,79.0
0.66,83.0
1.20,63.0
1.20,63.0
1.49,55.0
0.51,87.0
1.20,63.0
2.77,9.0
1.74,36.0
1.03,67.0
1.49,55.0
0.66,83.0
0.91,71.0
1.06,62.0
1.20,63.0
0.22,95.0
0.62,78.0
0.23,95.0
1.43,46.0
1.09,71.0
0.51,87.0
1.20,60.0
0.66,83.0
1.23,67.0
1.17,63.0
1.49,49.0
0.66,83.0
0.94,75.0
0.65,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.37,91.0
1.23,67.0
1.20,63.0
1.20,67.0
0.51,87.0
1.63,51.0
1.49,55.0
0.80,79.0
0.89,75.0
0.66,83.0
0.66,83.0
1.06,62.0
0.51,87.0
1.06,62.0
1.46,55.0
0.80,79.0
0.63,83.0
268.80,177.21,9.0,95.0,73.845,16.16
