Map,scenarios/1_switch/basic_flat/bf_f.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.69,79.0
1.09,71.0
1.57,49.0
1.65,45.0
0.91,71.0
0.80,79.0
0.91,71.0
0.37,91.0
1.03,67.0
0.91,70.0
1.05,67.0
1.06,71.0
1.03,67.0
0.66,83.0
0.51,87.0
0.80,79.0
0.91,71.0
1.51,49.0
0.23,95.0
0.51,87.0
0.65,83.0
0.80,79.0
0.51,87.0
0.94,75.0
0.51,87.0
0.91,70.0
0.94,75.0
0.91,70.0
2.37,25.0
0.23,95.0
0.80,79.0
0.51,87.0
1.60,46.0
0.51,87.0
0.80,79.0
0.51,87.0
0.51,87.0
1.08,66.0
0.91,71.0
0.80,79.0
0.80,79.0
0.51,87.0
0.51,87.0
1.94,37.0
0.91,71.0
0.63,83.0
0.91,71.0
0.65,83.0
0.94,75.0
0.51,87.0
1.06,67.0
0.94,75.0
0.89,75.0
0.80,79.0
1.09,71.0
0.37,91.0
0.37,91.0
0.23,95.0
0.51,87.0
0.94,75.0
1.08,66.0
0.51,87.0
1.66,45.0
0.37,91.0
0.91,71.0
0.91,71.0
2.08,28.0
0.95,75.0
1.34,59.0
0.49,87.0
0.37,90.0
0.37,91.0
0.46,91.0
0.23,95.0
0.94,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.60,83.0
0.23,95.0
1.09,71.0
0.66,83.0
0.23,95.0
0.94,75.0
0.51,87.0
0.37,91.0
0.51,87.0
0.66,83.0
0.51,87.0
0.51,87.0
1.06,67.0
0.63,83.0
0.51,87.0
0.49,87.0
0.23,95.0
0.37,91.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
2.00,30.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.06,66.0
0.92,71.0
0.80,79.0
0.65,83.0
0.80,79.0
0.23,95.0
0.37,91.0
0.80,79.0
1.22,62.0
0.23,95.0
0.77,79.0
0.80,79.0
1.31,59.0
0.80,79.0
0.94,75.0
1.91,33.0
0.91,71.0
0.80,79.0
0.80,79.0
1.31,59.0
0.65,83.0
0.51,87.0
0.94,75.0
0.92,71.0
0.51,87.0
0.57,83.0
0.94,75.0
0.51,87.0
0.80,79.0
0.66,83.0
0.37,91.0
0.37,91.0
0.80,79.0
0.94,75.0
2.49,17.0
1.89,37.0
0.51,87.0
0.37,91.0
1.03,67.0
0.51,87.0
0.94,75.0
1.74,45.0
0.66,83.0
1.08,66.0
0.51,87.0
0.94,75.0
0.49,86.0
1.08,66.0
0.94,75.0
0.91,71.0
1.06,67.0
0.94,75.0
0.66,83.0
1.65,44.0
0.80,79.0
0.51,87.0
0.23,95.0
1.74,41.0
0.23,95.0
0.91,71.0
1.31,59.0
0.51,87.0
0.51,87.0
0.63,83.0
1.20,62.0
0.51,87.0
1.06,67.0
0.51,87.0
0.94,75.0
0.52,87.0
0.22,95.0
1.94,37.0
0.51,87.0
0.77,75.0
1.09,71.0
1.09,65.0
1.09,71.0
0.51,87.0
1.09,71.0
1.23,62.0
0.80,79.0
0.74,78.0
0.63,83.0
0.51,87.0
0.91,71.0
0.51,87.0
0.91,71.0
0.94,75.0
0.80,79.0
0.51,87.0
254.17,162.56,17.0,95.0,76.74,14.55
