Map,scenarios/1_switch/basic_flat/bf_fm.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.83,79.0
1.23,67.0
1.71,45.0
1.63,45.0
0.91,71.0
0.94,75.0
0.92,71.0
0.37,91.0
1.09,71.0
0.91,70.0
1.63,45.0
1.23,67.0
1.09,71.0
0.62,83.0
0.52,87.0
0.80,79.0
0.91,71.0
0.80,79.0
0.37,91.0
1.20,63.0
0.65,83.0
0.80,79.0
0.51,87.0
1.03,67.0
0.51,87.0
0.91,71.0
0.94,75.0
0.80,79.0
3.94,-29.0
0.23,95.0
0.80,79.0
0.51,87.0
1.66,45.0
0.52,87.0
0.80,79.0
0.51,87.0
0.51,87.0
1.09,71.0
0.80,79.0
0.80,79.0
0.80,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.91,71.0
0.66,83.0
1.09,71.0
1.20,63.0
1.08,71.0
0.94,75.0
0.94,75.0
0.91,75.0
1.23,67.0
0.23,95.0
0.23,95.0
0.22,95.0
1.20,63.0
1.23,62.0
1.09,71.0
0.51,87.0
1.66,45.0
0.49,87.0
0.91,71.0
0.91,71.0
0.37,91.0
0.94,75.0
1.23,67.0
0.63,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
1.23,62.0
0.77,79.0
0.94,75.0
0.37,91.0
0.80,78.0
0.51,87.0
0.51,87.0
0.80,79.0
0.22,95.0
1.09,71.0
0.66,83.0
0.23,95.0
0.95,75.0
0.52,87.0
0.23,95.0
0.63,83.0
1.20,63.0
0.52,87.0
0.51,87.0
1.06,67.0
0.66,83.0
0.52,87.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,75.0
0.52,87.0
1.66,45.0
0.51,87.0
1.09,71.0
0.51,87.0
0.77,79.0
0.51,87.0
0.23,95.0
1.09,71.0
0.92,71.0
0.95,75.0
1.20,63.0
0.91,75.0
0.37,91.0
0.37,91.0
0.94,75.0
1.09,71.0
0.37,91.0
0.80,79.0
0.80,79.0
1.08,71.0
0.80,79.0
1.09,71.0
1.66,45.0
0.91,71.0
0.80,79.0
0.80,79.0
1.23,62.0
0.66,83.0
0.51,87.0
1.09,71.0
0.63,83.0
0.66,83.0
0.66,83.0
1.08,71.0
0.51,87.0
0.80,79.0
0.65,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.09,71.0
0.80,79.0
1.23,67.0
0.51,87.0
0.37,91.0
0.80,79.0
0.52,87.0
0.94,75.0
1.63,54.0
0.66,83.0
1.17,63.0
1.20,63.0
1.23,62.0
0.51,87.0
1.09,71.0
1.09,71.0
0.92,71.0
1.06,67.0
1.23,61.0
0.65,83.0
1.63,45.0
0.80,79.0
1.20,63.0
0.23,95.0
0.80,79.0
0.23,95.0
0.91,71.0
1.09,71.0
0.52,87.0
1.20,63.0
0.66,83.0
1.20,67.0
1.20,63.0
1.06,67.0
1.20,63.0
0.92,75.0
0.66,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.37,91.0
1.22,67.0
1.08,71.0
1.23,67.0
0.52,87.0
1.09,71.0
0.94,75.0
0.80,79.0
0.80,79.0
0.65,83.0
0.66,83.0
0.91,71.0
0.51,87.0
1.66,45.0
0.94,75.0
0.80,79.0
0.51,87.0
257.23,165.76,-29.0,95.0,76.925,13.93
