Map,scenarios/1_switch/basic_flat/bf_fm.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.83,79.0
1.08,71.0
1.05,62.0
1.03,65.0
1.05,62.0
0.80,79.0
1.06,62.0
0.63,79.0
1.03,61.0
1.97,26.0
1.06,62.0
1.08,71.0
1.43,46.0
1.06,62.0
0.51,87.0
0.77,79.0
1.06,62.0
0.65,83.0
0.23,95.0
0.52,87.0
0.63,79.0
0.66,83.0
1.57,42.0
1.06,62.0
1.57,42.0
1.03,62.0
0.94,75.0
1.06,62.0
0.65,83.0
0.23,95.0
0.80,79.0
0.20,95.0
1.06,62.0
0.62,79.0
0.80,79.0
0.63,79.0
0.23,95.0
1.05,62.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,87.0
0.77,75.0
0.63,79.0
1.57,42.0
0.63,79.0
1.06,62.0
0.63,79.0
1.06,71.0
0.51,87.0
1.06,62.0
0.94,75.0
0.94,75.0
0.80,79.0
1.08,71.0
0.23,95.0
0.23,95.0
0.23,94.0
0.51,87.0
0.94,75.0
1.05,62.0
1.06,62.0
1.97,26.0
0.63,79.0
1.06,62.0
1.06,62.0
0.23,95.0
0.94,75.0
1.09,71.0
1.06,62.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.03,75.0
0.66,83.0
0.80,79.0
0.63,79.0
0.66,83.0
0.23,95.0
0.77,75.0
0.66,83.0
0.20,95.0
1.06,62.0
0.63,79.0
0.23,95.0
0.80,79.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.51,87.0
0.23,95.0
1.06,62.0
0.63,79.0
0.52,87.0
0.63,79.0
0.23,95.0
0.22,95.0
0.23,95.0
0.23,95.0
0.94,75.0
1.06,62.0
1.06,62.0
0.63,79.0
0.94,75.0
1.57,42.0
0.66,83.0
0.62,79.0
0.23,95.0
1.03,62.0
1.06,62.0
0.80,79.0
0.49,87.0
0.80,79.0
0.23,95.0
0.22,95.0
0.80,79.0
0.94,75.0
0.23,95.0
0.66,82.0
0.80,79.0
0.94,75.0
0.80,79.0
2.63,-2.0
0.63,79.0
1.06,62.0
0.80,79.0
0.66,83.0
0.94,75.0
0.63,79.0
0.63,79.0
0.94,75.0
1.03,62.0
0.60,79.0
1.63,40.0
0.94,75.0
0.51,87.0
0.80,79.0
0.63,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.95,75.0
1.06,62.0
1.08,71.0
0.63,79.0
0.22,95.0
0.65,83.0
1.03,62.0
0.94,75.0
1.00,62.0
0.63,79.0
1.06,62.0
0.51,87.0
1.03,76.0
1.03,62.0
1.05,62.0
0.94,75.0
1.06,62.0
1.06,62.0
0.94,75.0
1.66,40.0
1.06,62.0
1.05,62.0
0.51,87.0
0.23,95.0
0.63,78.0
0.20,95.0
1.06,62.0
0.94,75.0
0.37,91.0
0.51,87.0
0.63,79.0
1.08,71.0
0.52,87.0
1.03,62.0
0.52,87.0
0.80,79.0
1.06,62.0
0.20,95.0
1.57,42.0
1.03,62.0
0.22,95.0
1.08,71.0
1.03,62.0
1.06,71.0
0.63,79.0
0.94,75.0
0.95,75.0
0.66,83.0
0.80,79.0
0.63,79.0
0.63,79.0
1.06,62.0
0.77,75.0
1.43,46.0
0.94,75.0
0.65,83.0
0.52,87.0
249.34,157.84,-2.0,95.0,75.48,15.04
