Map,scenarios/1_switch/basic_flat/bf_fmw.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.86,79.0
1.23,67.0
0.80,79.0
0.86,79.0
0.80,79.0
0.94,75.0
0.80,79.0
0.37,91.0
1.08,71.0
0.80,79.0
1.06,71.0
1.23,67.0
0.94,75.0
1.51,54.0
0.51,87.0
0.80,79.0
0.77,79.0
0.80,79.0
0.37,91.0
0.66,83.0
0.65,83.0
0.80,79.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.94,75.0
0.80,79.0
8.54,-289.0
0.23,95.0
0.80,79.0
0.51,87.0
0.94,75.0
0.65,83.0
2.23,29.0
0.63,83.0
0.51,87.0
1.08,71.0
0.80,79.0
0.77,79.0
0.80,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.80,79.0
0.65,83.0
0.80,79.0
1.52,54.0
1.08,71.0
1.20,63.0
0.94,75.0
0.94,75.0
0.94,75.0
0.94,75.0
1.23,67.0
0.23,95.0
0.23,95.0
0.23,95.0
1.20,63.0
0.94,75.0
1.08,71.0
0.51,87.0
0.91,75.0
0.51,87.0
0.80,79.0
0.77,79.0
0.37,91.0
1.60,55.0
1.23,67.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.80,79.0
0.95,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.09,71.0
0.66,83.0
0.23,95.0
0.95,75.0
0.51,87.0
0.37,91.0
0.66,83.0
1.20,63.0
0.63,83.0
0.51,87.0
0.94,75.0
0.65,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
0.94,75.0
0.51,87.0
1.08,71.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.09,71.0
0.80,79.0
0.94,75.0
1.20,63.0
0.94,75.0
0.37,91.0
0.37,91.0
0.95,75.0
1.09,71.0
0.37,91.0
0.80,79.0
0.91,74.0
1.63,51.0
2.23,29.0
1.06,71.0
0.91,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.94,75.0
1.51,54.0
0.52,87.0
1.09,71.0
0.80,79.0
0.66,83.0
0.80,79.0
1.62,51.0
0.65,83.0
1.34,59.0
0.66,83.0
0.23,95.0
0.23,95.0
1.49,55.0
1.08,71.0
1.60,54.0
1.22,67.0
0.51,87.0
0.37,91.0
0.63,83.0
0.51,87.0
0.95,75.0
0.80,79.0
0.63,83.0
1.08,71.0
1.20,63.0
0.94,75.0
0.63,83.0
1.09,71.0
2.23,29.0
0.80,79.0
0.94,75.0
0.94,75.0
1.51,54.0
0.94,75.0
0.80,79.0
1.20,63.0
0.23,95.0
0.80,79.0
0.22,94.0
0.80,79.0
1.09,71.0
0.51,87.0
1.20,63.0
1.51,54.0
1.23,67.0
0.66,83.0
0.94,75.0
0.66,83.0
0.94,75.0
0.65,83.0
0.23,95.0
0.80,79.0
0.49,87.0
0.37,91.0
1.23,67.0
1.08,71.0
1.23,67.0
0.51,87.0
1.63,51.0
0.94,75.0
0.80,79.0
2.23,29.0
0.80,79.0
0.65,83.0
0.80,79.0
0.51,87.0
0.94,75.0
0.94,75.0
0.80,79.0
0.51,87.0
264.28,172.73,-289.0,95.0,75.9,28.62
