Map,scenarios/1_switch/basic_flat/bf_fw.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.89,79.0
1.23,67.0
0.80,79.0
0.88,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.37,91.0
1.06,67.0
0.80,79.0
1.06,71.0
1.20,62.0
0.94,75.0
0.66,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.80,79.0
0.23,94.0
0.52,87.0
0.66,83.0
0.80,79.0
0.51,87.0
0.95,75.0
0.48,87.0
0.80,79.0
0.94,75.0
0.80,79.0
3.63,-21.0
0.23,95.0
0.80,79.0
0.51,87.0
0.92,75.0
0.51,87.0
0.80,79.0
0.52,87.0
0.51,87.0
0.94,74.0
0.80,79.0
0.80,79.0
0.80,79.0
0.51,87.0
0.52,87.0
0.66,83.0
0.80,79.0
0.65,83.0
0.80,79.0
0.66,83.0
0.94,75.0
0.51,87.0
0.95,75.0
0.94,75.0
0.94,75.0
0.80,79.0
1.23,67.0
0.37,91.0
0.23,95.0
0.23,95.0
0.51,87.0
0.94,75.0
1.05,67.0
0.51,87.0
0.94,75.0
0.37,91.0
0.80,79.0
0.80,79.0
0.80,79.0
1.32,59.0
1.49,55.0
0.51,87.0
0.37,91.0
0.37,91.0
0.22,95.0
0.23,95.0
0.91,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.52,87.0
0.51,87.0
1.46,59.0
0.23,95.0
1.23,67.0
0.66,83.0
0.23,95.0
0.95,75.0
0.51,87.0
0.37,91.0
0.51,87.0
0.63,83.0
0.52,87.0
0.52,87.0
0.95,75.0
0.65,83.0
0.52,87.0
0.51,87.0
0.23,95.0
0.37,91.0
0.51,87.0
0.52,87.0
0.94,75.0
0.52,87.0
0.94,75.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.52,87.0
0.23,95.0
0.94,75.0
0.80,79.0
0.80,79.0
0.65,83.0
0.80,79.0
0.23,95.0
0.37,91.0
0.80,79.0
0.94,75.0
0.22,95.0
0.80,79.0
0.80,79.0
2.63,17.0
0.88,75.0
0.94,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.94,74.0
0.65,83.0
0.51,87.0
0.94,75.0
0.80,79.0
0.65,83.0
0.65,83.0
0.94,75.0
0.51,87.0
0.80,79.0
0.66,83.0
0.22,95.0
0.37,91.0
0.80,79.0
0.94,75.0
0.80,79.0
1.23,67.0
0.51,87.0
0.23,95.0
0.80,79.0
0.46,87.0
0.94,75.0
0.80,79.0
0.66,83.0
1.23,62.0
0.51,87.0
0.94,75.0
0.52,87.0
0.94,75.0
0.94,75.0
0.80,79.0
0.95,75.0
0.95,75.0
0.66,83.0
0.91,79.0
0.80,79.0
0.65,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.80,79.0
0.94,75.0
0.51,87.0
0.51,87.0
0.65,83.0
1.23,62.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.63,83.0
0.23,95.0
0.66,83.0
0.51,87.0
0.37,91.0
1.22,67.0
1.03,71.0
1.37,58.0
0.37,91.0
1.63,51.0
0.94,75.0
0.80,79.0
0.80,79.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,87.0
0.95,75.0
0.94,75.0
0.77,79.0
0.48,87.0
240.42,148.89,-21.0,95.0,80.255,11.78
