Map,scenarios/1_switch/basic_flat/bf_m.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.83,79.0
1.23,67.0
1.69,45.0
1.63,45.0
0.91,71.0
0.95,75.0
0.91,71.0
0.37,91.0
1.08,71.0
0.91,71.0
1.05,67.0
1.22,67.0
1.09,71.0
0.66,83.0
0.51,87.0
0.80,79.0
0.91,71.0
0.80,79.0
0.37,91.0
1.20,63.0
0.66,83.0
0.80,79.0
0.52,87.0
1.08,71.0
0.51,87.0
0.91,71.0
0.94,75.0
0.80,79.0
3.94,-29.0
0.23,95.0
0.80,79.0
0.51,87.0
1.66,45.0
0.52,87.0
0.80,79.0
0.51,87.0
0.51,87.0
1.08,71.0
0.80,79.0
0.80,79.0
0.80,79.0
0.49,87.0
0.51,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.92,71.0
0.65,83.0
1.05,70.0
0.63,83.0
1.09,71.0
0.94,75.0
0.95,75.0
0.94,75.0
1.23,67.0
0.23,95.0
0.23,95.0
0.23,95.0
0.63,83.0
1.23,62.0
1.09,71.0
0.51,87.0
1.65,45.0
0.52,87.0
0.91,71.0
0.91,71.0
0.37,91.0
0.94,75.0
1.23,67.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.29,96.0
1.23,62.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.08,71.0
0.66,83.0
0.23,95.0
0.94,75.0
0.51,87.0
0.23,95.0
0.51,87.0
1.20,63.0
0.51,87.0
0.52,87.0
1.06,67.0
0.66,83.0
0.52,87.0
0.52,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
0.91,70.0
0.51,87.0
1.09,71.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.08,71.0
0.91,71.0
0.94,75.0
1.20,63.0
0.94,75.0
0.37,91.0
0.37,91.0
0.94,75.0
1.09,71.0
0.37,91.0
0.80,79.0
0.80,79.0
1.08,71.0
0.80,79.0
1.08,71.0
0.92,75.0
0.91,71.0
0.80,79.0
0.80,79.0
1.23,62.0
0.66,83.0
0.51,87.0
1.08,71.0
0.80,79.0
0.63,83.0
0.77,79.0
1.09,71.0
0.51,87.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.09,71.0
0.80,79.0
1.23,67.0
0.51,87.0
0.34,91.0
0.80,79.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
1.08,71.0
1.34,61.0
1.23,62.0
0.51,86.0
1.09,71.0
1.09,71.0
0.92,71.0
1.06,67.0
1.23,62.0
0.66,83.0
0.92,70.0
0.80,79.0
1.20,62.0
0.23,95.0
0.80,79.0
0.23,95.0
0.91,71.0
1.09,71.0
0.52,87.0
1.20,63.0
0.65,83.0
1.23,67.0
1.20,63.0
1.05,67.0
1.20,62.0
0.94,75.0
0.66,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.37,91.0
1.23,67.0
0.92,75.0
1.20,67.0
0.51,87.0
1.09,71.0
0.94,75.0
0.80,79.0
0.80,79.0
0.77,79.0
0.66,83.0
0.91,71.0
0.51,87.0
1.63,45.0
0.95,75.0
0.77,79.0
0.52,87.0
252.65,161.15,-29.0,96.0,77.79,13.00
