Map,scenarios/1_switch/basic_flat/bf_mw.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.88,79.0
1.23,67.0
0.77,79.0
0.86,79.0
0.80,79.0
0.94,75.0
0.80,79.0
0.37,91.0
1.08,71.0
0.77,79.0
0.91,75.0
1.23,67.0
0.94,75.0
1.48,54.0
0.51,87.0
0.80,78.0
0.80,78.0
0.80,79.0
0.37,91.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.94,75.0
0.80,79.0
1.20,62.0
0.23,95.0
1.46,55.0
0.51,87.0
0.94,75.0
0.65,83.0
2.20,29.0
0.51,87.0
0.51,87.0
1.09,71.0
0.80,79.0
0.80,79.0
0.80,79.0
0.63,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
1.52,54.0
1.09,71.0
1.20,63.0
1.08,71.0
0.94,75.0
0.94,75.0
0.94,75.0
1.23,67.0
0.23,95.0
0.22,95.0
0.23,95.0
1.20,63.0
0.95,75.0
1.08,71.0
0.52,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.80,78.0
0.37,91.0
0.94,75.0
1.23,67.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.80,79.0
0.95,75.0
0.46,91.0
0.77,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.06,71.0
0.66,82.0
0.23,95.0
2.31,25.0
0.51,87.0
0.37,91.0
0.65,83.0
1.20,63.0
0.52,87.0
0.49,87.0
0.94,75.0
0.66,83.0
0.51,87.0
0.48,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.95,75.0
0.51,87.0
0.94,75.0
0.51,87.0
1.06,70.0
0.51,87.0
0.80,79.0
0.52,87.0
0.23,95.0
1.08,71.0
0.80,78.0
0.94,75.0
1.20,63.0
0.92,75.0
0.35,91.0
0.37,91.0
0.94,75.0
1.08,71.0
0.37,91.0
1.31,59.0
2.23,29.0
1.63,51.0
0.80,79.0
0.94,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.77,79.0
0.95,75.0
1.52,54.0
0.51,87.0
1.08,71.0
0.78,79.0
0.66,83.0
0.80,79.0
1.63,51.0
0.66,83.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.08,71.0
0.80,79.0
1.23,67.0
0.46,87.0
0.37,91.0
0.80,80.0
0.52,87.0
0.95,75.0
0.80,79.0
0.66,83.0
1.17,71.0
0.63,83.0
0.94,75.0
0.51,87.0
1.03,71.0
2.23,29.0
0.80,79.0
1.06,71.0
1.06,71.0
0.63,83.0
0.92,75.0
0.80,79.0
1.20,63.0
0.23,95.0
0.74,79.0
0.23,95.0
0.77,79.0
1.08,71.0
0.52,87.0
1.20,63.0
1.51,54.0
1.23,67.0
0.66,83.0
0.92,74.0
0.66,83.0
0.95,75.0
0.66,83.0
0.23,95.0
0.80,78.0
0.51,87.0
0.37,91.0
1.14,67.0
1.09,71.0
1.23,67.0
0.52,87.0
1.63,51.0
0.94,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.52,87.0
0.94,75.0
0.94,75.0
0.77,79.0
0.51,87.0
253.43,161.90,25.0,95.0,78.14,12.03
