Map,scenarios/1_switch/basic_flat/bf_mwc.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.83,79.0
1.23,67.0
0.77,75.0
1.68,45.0
2.34,16.0
0.94,75.0
0.80,79.0
0.37,91.0
1.20,63.0
0.91,71.0
1.06,67.0
1.23,67.0
1.03,71.0
0.77,79.0
0.63,83.0
1.49,55.0
0.77,75.0
0.77,78.0
0.23,94.0
0.66,83.0
0.66,83.0
0.80,79.0
0.52,87.0
1.08,71.0
0.51,87.0
0.92,75.0
1.46,55.0
0.80,79.0
1.20,63.0
0.23,95.0
1.48,54.0
0.51,87.0
0.92,70.0
0.65,83.0
1.34,59.0
0.66,83.0
0.51,87.0
1.20,63.0
0.80,79.0
0.80,79.0
1.49,55.0
0.66,83.0
0.52,87.0
0.77,75.0
0.80,79.0
0.66,83.0
0.80,79.0
2.06,34.0
1.09,71.0
2.60,12.0
1.09,71.0
1.49,55.0
1.49,55.0
0.95,75.0
1.20,67.0
0.23,95.0
0.23,95.0
0.23,95.0
1.20,63.0
2.91,5.0
1.06,66.0
0.51,87.0
0.94,70.0
0.51,87.0
1.03,71.0
0.91,75.0
0.35,91.0
1.60,51.0
1.20,67.0
0.63,83.0
0.37,90.0
0.22,95.0
0.23,95.0
0.23,95.0
1.63,51.0
0.80,79.0
1.63,51.0
0.37,91.0
0.80,79.0
0.49,87.0
0.51,87.0
0.80,79.0
0.23,95.0
1.09,71.0
0.63,83.0
0.23,95.0
1.63,51.0
0.51,87.0
0.37,91.0
0.66,83.0
1.20,63.0
0.66,83.0
0.51,87.0
1.06,66.0
0.66,83.0
0.63,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
1.49,55.0
0.51,87.0
0.91,71.0
0.51,87.0
1.06,71.0
0.51,87.0
0.80,79.0
0.52,87.0
0.22,95.0
1.20,63.0
0.91,70.0
0.95,75.0
1.20,63.0
0.94,75.0
0.23,95.0
0.37,91.0
0.91,74.0
1.09,71.0
0.23,95.0
1.49,55.0
1.77,42.0
1.63,51.0
2.77,9.0
1.66,50.0
0.94,75.0
2.34,16.0
1.48,55.0
0.80,79.0
1.48,55.0
2.06,34.0
0.60,87.0
1.09,71.0
0.80,79.0
0.66,83.0
0.80,79.0
1.63,51.0
0.66,83.0
1.32,59.0
0.66,83.0
0.23,95.0
0.23,95.0
1.48,55.0
1.09,71.0
0.80,79.0
1.23,67.0
0.51,87.0
0.23,95.0
0.80,79.0
0.52,86.0
1.49,55.0
0.80,79.0
0.66,83.0
1.20,63.0
1.20,62.0
1.63,51.0
0.51,87.0
1.20,63.0
1.60,51.0
0.94,70.0
1.06,67.0
1.63,51.0
2.06,34.0
0.94,75.0
0.80,79.0
1.20,62.0
0.23,95.0
0.80,79.0
0.23,95.0
0.77,75.0
1.57,51.0
1.05,67.0
1.34,59.0
0.75,79.0
1.20,67.0
2.60,12.0
0.91,71.0
0.66,83.0
0.94,75.0
0.66,83.0
0.23,95.0
2.31,21.0
0.65,83.0
0.37,91.0
1.23,67.0
1.08,71.0
1.20,67.0
0.51,87.0
1.63,51.0
1.49,55.0
1.48,58.0
1.34,59.0
0.80,79.0
0.65,83.0
0.77,75.0
0.51,87.0
0.94,70.0
1.48,55.0
1.29,59.0
0.66,83.0
282.11,190.59,5.0,95.0,72.395,18.04
