Map,scenarios/1_switch/basic_flat/bf_mwc.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.69,83.0
1.06,71.0
1.03,61.0
1.03,64.0
1.06,62.0
0.80,79.0
1.06,62.0
0.62,79.0
1.06,62.0
1.95,25.0
1.06,62.0
1.09,71.0
1.60,41.0
1.45,49.0
0.51,87.0
0.65,83.0
1.05,62.0
0.66,83.0
0.23,95.0
0.51,87.0
0.62,79.0
0.66,83.0
0.63,79.0
1.06,62.0
0.63,79.0
1.06,62.0
0.94,75.0
1.65,40.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
1.06,62.0
0.63,79.0
0.80,79.0
0.63,79.0
0.23,95.0
1.03,62.0
0.63,83.0
0.66,83.0
0.66,83.0
0.52,87.0
0.77,75.0
0.63,79.0
1.66,40.0
0.63,79.0
1.05,62.0
0.63,79.0
0.94,75.0
0.51,87.0
1.05,62.0
0.94,75.0
0.94,75.0
0.80,79.0
1.08,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.52,87.0
0.94,75.0
1.05,62.0
0.63,79.0
1.43,46.0
0.63,79.0
1.03,61.0
1.02,62.0
0.22,94.0
0.94,75.0
1.09,71.0
0.63,79.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.66,83.0
0.89,75.0
1.17,61.0
0.65,83.0
0.23,95.0
0.77,75.0
0.66,83.0
0.23,95.0
1.00,62.0
0.63,78.0
0.23,95.0
0.91,75.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.51,87.0
0.23,95.0
1.05,62.0
0.63,79.0
0.51,87.0
0.63,79.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.63,79.0
1.06,62.0
0.63,79.0
0.91,75.0
1.06,62.0
0.63,83.0
0.63,79.0
0.22,95.0
1.06,62.0
1.06,62.0
0.80,79.0
0.52,87.0
0.77,79.0
0.23,95.0
0.23,95.0
0.80,79.0
0.94,75.0
0.23,95.0
0.66,83.0
0.80,79.0
0.95,75.0
0.80,79.0
1.57,42.0
0.63,79.0
1.03,62.0
0.80,79.0
0.66,83.0
0.94,75.0
0.63,79.0
0.63,77.0
0.94,75.0
1.06,62.0
0.63,79.0
1.66,40.0
0.94,75.0
0.48,87.0
0.80,79.0
0.63,79.0
0.23,95.0
0.23,94.0
0.80,79.0
0.94,75.0
0.63,79.0
1.09,71.0
0.60,79.0
0.23,95.0
0.65,83.0
0.63,79.0
0.91,75.0
2.51,6.0
0.63,79.0
1.05,62.0
0.51,87.0
0.94,75.0
0.63,79.0
1.06,62.0
0.94,75.0
1.17,62.0
1.06,62.0
0.94,75.0
0.63,78.0
1.06,62.0
1.06,62.0
0.51,87.0
0.23,95.0
0.63,79.0
0.23,95.0
1.03,62.0
0.91,75.0
0.37,91.0
0.51,87.0
0.63,79.0
1.08,70.0
0.51,87.0
1.03,62.0
0.52,87.0
0.80,78.0
0.63,79.0
0.23,95.0
1.34,53.0
1.05,62.0
0.23,95.0
1.08,71.0
1.03,62.0
1.08,71.0
0.63,79.0
0.94,75.0
0.95,75.0
0.65,83.0
0.80,79.0
0.63,79.0
0.63,78.0
1.05,62.0
0.77,74.0
1.46,45.0
0.94,75.0
0.66,83.0
0.51,87.0
243.97,152.44,6.0,95.0,76.515,14.06
