Map,scenarios/1_switch/basic_flat/bf_w.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.23,59.0
1.23,67.0
0.86,79.0
0.91,75.0
0.80,79.0
0.77,78.0
0.80,79.0
0.37,91.0
1.20,62.0
0.80,79.0
0.94,75.0
1.23,67.0
0.94,75.0
0.65,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.80,79.0
0.23,95.0
0.52,87.0
0.66,83.0
0.80,79.0
0.51,87.0
0.94,75.0
0.52,87.0
0.80,79.0
0.91,75.0
0.80,79.0
2.34,25.0
0.23,95.0
0.80,79.0
0.51,87.0
0.92,75.0
0.52,87.0
0.80,79.0
0.51,87.0
0.51,87.0
0.94,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.51,87.0
0.51,87.0
0.66,83.0
0.80,79.0
0.66,83.0
1.34,58.0
0.66,83.0
1.05,71.0
0.52,87.0
0.95,75.0
0.94,75.0
1.03,71.0
0.80,79.0
1.08,71.0
0.37,91.0
0.20,95.0
0.23,95.0
0.52,86.0
0.94,74.0
1.06,67.0
0.51,87.0
0.94,75.0
0.37,91.0
0.80,79.0
0.80,79.0
0.80,79.0
1.34,59.0
1.20,67.0
0.51,87.0
0.37,91.0
0.37,91.0
0.23,95.0
0.23,95.0
0.91,75.0
0.80,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.51,87.0
1.46,59.0
0.23,95.0
1.23,67.0
0.65,83.0
0.23,95.0
0.94,75.0
0.51,87.0
0.37,91.0
0.51,87.0
0.63,82.0
0.52,87.0
0.52,87.0
0.94,75.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.37,91.0
0.49,87.0
0.52,87.0
0.94,75.0
0.49,87.0
0.94,75.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.52,87.0
0.20,95.0
0.94,75.0
0.80,79.0
0.77,79.0
0.66,83.0
0.80,79.0
0.23,95.0
0.37,91.0
0.77,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,79.0
1.63,51.0
0.80,79.0
0.94,75.0
0.80,79.0
0.77,79.0
0.80,79.0
0.80,79.0
0.94,75.0
0.66,83.0
0.52,87.0
0.94,75.0
0.80,79.0
0.66,83.0
0.63,83.0
0.94,75.0
0.51,87.0
0.80,79.0
0.66,83.0
0.23,95.0
0.37,91.0
0.80,78.0
0.94,75.0
0.80,79.0
1.23,66.0
0.52,87.0
0.23,95.0
0.80,79.0
0.51,87.0
0.94,75.0
0.80,79.0
0.65,83.0
1.23,61.0
0.51,87.0
0.94,75.0
0.51,87.0
0.94,75.0
0.94,75.0
0.80,79.0
0.94,75.0
0.94,75.0
0.66,83.0
0.94,75.0
1.63,54.0
0.66,83.0
0.23,95.0
0.80,78.0
0.22,95.0
0.80,79.0
0.94,75.0
0.52,87.0
0.52,87.0
0.66,83.0
1.23,61.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.37,91.0
1.23,67.0
1.23,67.0
1.37,58.0
0.37,90.0
2.66,17.0
0.94,75.0
0.83,78.0
0.80,79.0
0.65,83.0
0.66,83.0
0.80,79.0
0.49,87.0
0.95,75.0
0.94,75.0
0.80,79.0
0.51,87.0
240.71,149.19,17.0,95.0,80.155,10.47
