Map,scenarios/1_switch/basic_flat/bf_wc.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.80,79.0
1.06,71.0
0.80,79.0
0.97,75.0
0.91,71.0
0.94,75.0
1.77,41.0
0.37,91.0
1.23,67.0
1.80,41.0
0.94,70.0
1.09,71.0
0.94,70.0
0.66,83.0
0.66,83.0
0.80,79.0
0.80,79.0
0.66,83.0
0.23,95.0
0.66,83.0
0.66,83.0
0.66,83.0
0.52,87.0
1.06,71.0
0.52,87.0
0.80,79.0
0.94,75.0
0.77,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.37,91.0
0.94,70.0
0.52,87.0
0.77,79.0
0.51,87.0
0.37,91.0
1.08,71.0
0.65,83.0
0.80,79.0
0.80,79.0
0.66,83.0
0.37,91.0
0.66,83.0
0.80,79.0
0.63,83.0
0.92,71.0
0.65,83.0
1.08,71.0
0.65,83.0
1.08,71.0
0.94,75.0
0.91,75.0
0.80,79.0
1.08,70.0
0.23,95.0
0.23,95.0
0.23,95.0
0.65,83.0
0.94,75.0
2.09,21.0
0.52,87.0
0.94,75.0
0.37,91.0
0.91,71.0
0.80,79.0
0.23,95.0
0.94,75.0
1.20,67.0
0.51,87.0
0.22,95.0
0.23,94.0
0.23,95.0
0.23,95.0
1.92,38.0
0.77,79.0
0.94,75.0
0.37,91.0
1.17,63.0
0.37,91.0
0.37,91.0
0.74,83.0
0.23,95.0
1.09,71.0
0.65,83.0
0.23,95.0
0.94,75.0
0.37,91.0
0.23,95.0
0.66,83.0
0.66,83.0
0.51,87.0
0.37,91.0
0.94,70.0
0.66,83.0
0.63,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.37,91.0
0.94,75.0
0.51,87.0
0.94,70.0
0.52,87.0
1.08,71.0
0.52,87.0
0.66,83.0
0.51,87.0
0.23,95.0
1.09,71.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.23,95.0
0.37,91.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,78.0
1.63,51.0
0.80,79.0
0.94,70.0
0.80,79.0
0.80,79.0
0.80,79.0
0.77,79.0
1.46,55.0
0.63,83.0
0.37,91.0
0.94,75.0
0.66,83.0
0.65,82.0
0.65,83.0
1.08,71.0
0.66,83.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.06,71.0
0.66,83.0
1.23,67.0
0.51,87.0
0.20,95.0
0.66,83.0
0.51,87.0
0.94,75.0
0.66,83.0
0.66,83.0
1.34,59.0
0.66,83.0
0.94,75.0
0.51,87.0
1.09,71.0
1.60,51.0
0.80,79.0
0.91,75.0
0.94,75.0
0.66,83.0
0.94,75.0
0.91,79.0
0.66,83.0
0.23,94.0
0.75,74.0
0.23,95.0
0.91,71.0
1.08,71.0
0.52,87.0
0.65,83.0
0.66,83.0
1.08,71.0
0.66,83.0
0.94,75.0
0.65,83.0
0.94,75.0
0.52,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.23,95.0
1.23,67.0
1.09,71.0
1.17,67.0
0.63,79.0
2.34,25.0
0.94,75.0
0.80,79.0
0.80,79.0
0.66,83.0
0.66,83.0
0.80,79.0
0.37,91.0
0.95,75.0
0.94,74.0
0.80,79.0
0.66,83.0
240.54,149.00,21.0,95.0,79.85,11.55
