Map,scenarios/1_switch/basic_flat/bf_wc.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.66,83.0
8.54,-238.0
8.54,-240.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.54,-236.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.54,-237.0
8.57,-241.0
8.54,-242.0
8.57,-241.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.54,-237.0
8.57,-241.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.55,-241.0
8.54,-237.0
8.54,-240.0
8.57,-241.0
8.54,-239.0
8.54,-239.0
8.55,-240.0
8.54,-239.0
8.54,-239.0
8.57,-237.0
8.55,-240.0
8.54,-239.0
8.57,-241.0
8.54,-241.0
8.54,-241.0
8.57,-241.0
8.54,-237.0
8.57,-241.0
8.54,-241.0
8.55,-240.0
8.54,-242.0
8.57,-241.0
8.54,-240.0
8.57,-237.0
8.54,-240.0
8.54,-239.0
8.57,-241.0
8.54,-240.0
8.54,-239.0
8.54,-242.0
8.54,-240.0
8.54,-237.0
8.57,-241.0
8.54,-240.0
8.54,-242.0
8.54,-240.0
8.57,-241.0
8.54,-240.0
8.54,-239.0
8.54,-243.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.57,-241.0
8.57,-241.0
8.57,-241.0
8.57,-237.0
8.54,-240.0
8.57,-241.0
8.54,-239.0
8.57,-241.0
8.57,-241.0
8.54,-239.0
8.54,-237.0
8.57,-241.0
8.54,-241.0
8.54,-239.0
8.54,-240.0
8.54,-241.0
8.54,-240.0
8.57,-237.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.57,-241.0
8.57,-241.0
8.54,-241.0
8.55,-244.0
8.54,-240.0
8.57,-241.0
8.54,-246.0
8.54,-240.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.57,-237.0
8.54,-241.0
8.57,-241.0
8.54,-241.0
8.57,-241.0
8.54,-241.0
8.57,-241.0
8.54,-237.0
8.54,-243.0
8.54,-244.0
8.54,-240.0
8.54,-242.0
8.54,-240.0
8.54,-242.0
8.54,-240.0
8.54,-238.0
8.54,-243.0
8.54,-240.0
8.57,-245.0
8.57,-241.0
8.54,-241.0
8.54,-240.0
8.54,-237.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-243.0
8.57,-241.0
8.54,-242.0
8.57,-241.0
8.54,-242.0
8.54,-243.0
8.57,-241.0
8.54,-243.0
8.55,-239.0
8.54,-239.0
8.54,-241.0
8.54,-243.0
8.55,-245.0
8.54,-246.0
8.55,-241.0
8.54,-241.0
8.54,-240.0
8.54,-240.0
8.54,-241.0
8.54,-242.0
8.54,-241.0
8.54,-241.0
8.54,-245.0
8.54,-240.0
8.54,-242.0
8.54,-241.0
8.54,-246.0
8.57,-245.0
8.54,-242.0
8.54,-239.0
8.54,-241.0
8.54,-240.0
8.54,-244.0
8.57,-241.0
8.54,-240.0
8.55,-242.0
8.54,-240.0
8.54,-240.0
8.57,-237.0
8.57,-241.0
8.54,-241.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-238.0
8.54,-243.0
8.54,-241.0
8.54,-239.0
8.57,-241.0
8.54,-240.0
8.54,-239.0
8.54,-241.0
8.54,-237.0
8.54,-241.0
8.57,-241.0
8.54,-244.0
8.54,-242.0
8.54,-240.0
8.54,-242.0
8.54,-243.0
8.55,-243.0
8.54,-245.0
8.54,-240.0
8.54,-241.0
8.54,-240.0
8.55,-240.0
8.54,-242.0
1794.29,1702.75,-246.0,83.0,-238.845,22.89
