Map,scenarios/1_switch/basic_flat/bf_wcf.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.74,79.0
1.23,67.0
0.80,79.0
0.85,79.0
0.77,79.0
0.94,75.0
1.80,41.0
0.37,91.0
1.23,67.0
1.80,41.0
0.94,70.0
1.08,71.0
0.91,70.0
0.66,83.0
0.63,83.0
0.80,79.0
0.80,79.0
0.77,79.0
0.23,95.0
0.66,83.0
0.66,82.0
0.66,83.0
0.52,87.0
0.94,75.0
0.49,87.0
0.80,79.0
0.89,75.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.37,91.0
0.94,70.0
0.51,87.0
0.77,79.0
0.51,87.0
0.37,91.0
1.05,71.0
0.66,83.0
0.80,79.0
0.80,79.0
0.66,83.0
0.34,91.0
0.66,83.0
0.80,79.0
0.66,83.0
0.80,79.0
0.66,82.0
1.09,71.0
0.63,83.0
1.08,71.0
0.94,75.0
0.94,75.0
0.80,79.0
1.08,71.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
1.48,55.0
1.23,67.0
0.51,86.0
0.94,75.0
0.37,91.0
0.80,79.0
0.80,79.0
0.23,95.0
0.94,74.0
1.17,67.0
0.51,87.0
0.22,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.63,50.0
0.80,79.0
0.94,75.0
0.37,91.0
0.66,83.0
0.37,91.0
0.37,91.0
0.66,83.0
0.23,95.0
1.17,71.0
0.66,83.0
0.23,95.0
0.94,75.0
0.34,91.0
0.23,95.0
0.66,83.0
0.63,83.0
0.60,83.0
0.37,91.0
0.94,70.0
0.66,83.0
0.66,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.37,91.0
0.91,75.0
0.51,87.0
0.94,70.0
0.51,87.0
1.08,71.0
0.51,86.0
0.66,83.0
0.51,87.0
0.23,95.0
1.09,71.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.22,95.0
0.34,91.0
0.80,79.0
0.94,75.0
0.23,95.0
0.80,79.0
0.80,79.0
1.63,51.0
0.80,79.0
0.91,70.0
0.91,75.0
0.80,79.0
0.77,79.0
0.74,79.0
1.49,55.0
0.65,83.0
0.51,87.0
0.94,75.0
0.66,83.0
0.65,83.0
0.77,79.0
1.08,71.0
0.66,83.0
0.80,79.0
0.63,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.08,71.0
0.65,83.0
1.23,67.0
0.51,87.0
0.23,95.0
0.66,83.0
0.51,87.0
0.94,75.0
0.66,83.0
0.66,83.0
1.60,51.0
0.66,83.0
0.94,75.0
0.51,87.0
1.09,71.0
1.09,71.0
0.80,79.0
0.94,75.0
0.91,75.0
0.65,83.0
0.94,75.0
0.80,79.0
1.17,66.0
0.23,95.0
0.77,75.0
0.23,95.0
0.80,79.0
1.63,51.0
0.52,87.0
1.17,62.0
0.66,83.0
1.09,71.0
0.66,83.0
0.91,75.0
0.62,83.0
0.92,75.0
0.51,86.0
0.23,95.0
0.63,83.0
0.49,87.0
0.22,95.0
1.23,66.0
1.08,71.0
1.06,71.0
0.63,79.0
2.37,25.0
1.06,71.0
0.80,79.0
0.80,79.0
0.66,83.0
0.66,83.0
0.80,79.0
0.37,91.0
0.94,75.0
0.92,74.0
0.77,79.0
0.63,83.0
240.22,148.61,25.0,95.0,79.985,10.79
