Map,scenarios/2_blend/basic_animated/ba_25.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
8.54,-282.0
8.57,-326.0
1.34,54.0
1.32,53.0
1.34,54.0
8.54,-322.0
1.34,54.0
0.63,78.0
1.34,59.0
1.35,54.0
6.83,-164.0
8.54,-313.0
2.11,21.0
0.91,70.0
8.54,-349.0
8.57,-326.0
1.43,45.0
8.54,-323.0
0.23,95.0
8.54,-325.0
1.20,58.0
4.54,-67.0
2.23,13.0
1.91,32.0
2.37,9.0
6.40,-152.0
8.54,-315.0
1.20,57.0
8.54,-332.0
0.23,95.0
3.26,-13.0
0.23,95.0
1.85,34.0
0.80,74.0
8.54,-321.0
1.20,58.0
0.23,95.0
1.14,62.0
8.57,-335.0
8.54,-324.0
8.54,-328.0
1.06,62.0
0.63,78.0
1.74,37.0
1.20,57.0
1.17,57.0
1.60,41.0
0.91,70.0
8.57,-331.0
8.54,-324.0
1.40,49.0
8.54,-328.0
8.54,-328.0
8.54,-319.0
2.26,17.0
0.22,95.0
0.23,95.0
0.23,95.0
3.97,-45.0
3.60,-36.0
1.34,58.0
7.03,-184.0
1.34,53.0
0.77,75.0
1.34,54.0
1.71,38.0
1.83,29.0
4.57,-72.0
3.31,-20.0
1.20,58.0
0.23,95.0
0.23,95.0
0.23,95.0
0.22,95.0
7.14,-167.0
8.54,-323.0
8.54,-319.0
2.23,13.0
1.20,58.0
0.23,95.0
0.63,79.0
1.34,54.0
0.23,95.0
2.11,22.0
2.11,21.0
0.23,95.0
6.08,-131.0
0.20,94.0
0.23,95.0
0.63,78.0
1.17,58.0
0.63,79.0
0.22,95.0
8.54,-326.0
1.97,25.0
0.63,79.0
3.03,-18.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
8.54,-335.0
1.57,41.0
1.86,34.0
0.63,77.0
8.57,-331.0
3.06,-19.0
3.03,-20.0
1.46,45.0
0.23,95.0
1.49,50.0
1.31,54.0
8.57,-321.0
4.54,-77.0
8.54,-333.0
0.23,95.0
0.23,95.0
8.57,-331.0
2.66,2.0
1.06,62.0
8.54,-325.0
2.83,-5.0
8.54,-317.0
6.11,-126.0
1.34,54.0
1.77,37.0
1.34,54.0
8.54,-342.0
8.54,-334.0
8.54,-327.0
8.55,-336.0
0.77,75.0
8.57,-340.0
1.34,54.0
1.43,45.0
1.34,54.0
8.54,-340.0
5.08,-91.0
8.55,-344.0
1.17,58.0
0.23,95.0
0.23,95.0
8.54,-325.0
8.57,-331.0
1.34,54.0
8.54,-321.0
3.20,-23.0
1.43,46.0
2.25,17.0
1.57,42.0
5.23,-90.0
1.34,54.0
1.60,41.0
1.34,58.0
8.54,-328.0
3.51,-34.0
3.43,-37.0
2.00,24.0
8.54,-325.0
0.92,75.0
1.34,53.0
3.40,-24.0
0.89,73.0
1.48,50.0
1.34,54.0
2.66,1.0
0.23,95.0
0.80,79.0
0.23,95.0
1.31,54.0
8.54,-340.0
1.03,61.0
2.26,18.0
0.91,71.0
1.51,49.0
2.26,18.0
1.23,62.0
2.26,18.0
8.57,-326.0
1.57,42.0
0.23,95.0
1.72,38.0
1.57,42.0
1.83,29.0
8.54,-321.0
1.35,58.0
3.06,-15.0
1.06,62.0
8.57,-326.0
8.54,-322.0
8.55,-334.0
6.57,-149.0
1.20,57.0
1.20,58.0
1.37,53.0
0.63,79.0
1.34,53.0
8.57,-335.0
3.34,-23.0
8.54,-340.0
768.79,677.18,-349.0,95.0,-51.6,165.40
