Map,scenarios/2_blend/basic_animated/ba_25.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.66,79.0
1.08,71.0
0.80,79.0
1.00,75.0
0.77,79.0
0.91,75.0
0.80,79.0
0.37,91.0
1.06,67.0
0.80,79.0
0.94,75.0
1.20,67.0
0.94,75.0
0.65,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.80,78.0
0.22,95.0
0.51,87.0
0.65,83.0
0.80,79.0
0.51,87.0
0.94,74.0
0.52,87.0
0.80,79.0
1.63,46.0
0.80,79.0
2.34,25.0
0.23,94.0
0.80,79.0
0.52,87.0
0.94,74.0
0.51,87.0
0.80,79.0
0.52,86.0
0.51,87.0
1.06,71.0
0.66,83.0
0.80,79.0
0.77,79.0
0.51,87.0
0.49,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.65,83.0
1.06,71.0
0.51,87.0
0.94,75.0
1.92,36.0
0.91,75.0
0.77,79.0
1.20,67.0
0.23,95.0
0.23,95.0
0.23,95.0
0.51,87.0
0.94,75.0
1.06,67.0
0.48,86.0
0.94,75.0
0.37,91.0
0.80,79.0
0.80,79.0
0.37,91.0
1.29,59.0
1.31,57.0
0.63,83.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,94.0
1.34,57.0
0.80,78.0
0.94,75.0
0.37,91.0
0.80,79.0
0.51,87.0
0.52,87.0
0.74,83.0
0.23,95.0
0.95,75.0
0.77,79.0
0.23,95.0
1.31,59.0
0.51,87.0
0.23,95.0
0.51,86.0
0.62,83.0
0.48,87.0
0.48,87.0
0.95,75.0
0.66,83.0
0.51,86.0
0.51,87.0
0.23,94.0
0.23,95.0
0.51,87.0
0.51,86.0
1.63,46.0
0.49,87.0
0.95,75.0
0.51,87.0
0.94,75.0
0.49,87.0
0.66,83.0
0.52,87.0
0.23,95.0
0.94,75.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.23,95.0
0.37,91.0
0.80,79.0
0.94,75.0
0.37,91.0
0.71,78.0
0.74,79.0
1.09,71.0
0.80,79.0
1.17,62.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
1.31,59.0
0.66,83.0
0.51,87.0
1.34,59.0
0.77,79.0
0.66,83.0
0.80,79.0
0.91,75.0
0.51,87.0
0.77,79.0
0.66,83.0
0.23,94.0
0.23,95.0
0.80,79.0
0.94,75.0
0.80,79.0
1.20,62.0
0.51,87.0
0.23,95.0
0.66,83.0
0.51,87.0
1.63,46.0
0.80,79.0
1.80,46.0
1.20,62.0
0.65,83.0
0.88,75.0
0.49,86.0
0.94,75.0
1.08,71.0
0.80,79.0
1.46,58.0
0.94,75.0
0.66,83.0
1.91,37.0
0.80,79.0
0.66,83.0
0.23,95.0
0.77,79.0
0.23,95.0
0.80,79.0
1.06,71.0
0.51,87.0
0.66,83.0
0.63,83.0
1.23,62.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
0.80,79.0
0.51,87.0
0.37,91.0
1.34,63.0
0.94,75.0
1.37,58.0
0.51,87.0
1.31,59.0
0.94,75.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.80,79.0
0.51,87.0
0.94,75.0
0.94,75.0
0.77,79.0
0.51,87.0
242.97,151.38,25.0,95.0,79.36,11.56
