Map,scenarios/2_blend/basic_caco/bc_50.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
3.17,25.0
1.34,60.0
0.80,79.0
0.94,75.0
0.80,79.0
1.09,71.0
0.80,79.0
0.51,87.0
1.51,54.0
0.80,79.0
1.34,59.0
1.63,51.0
1.37,58.0
0.80,79.0
0.49,87.0
1.80,46.0
0.80,79.0
1.20,63.0
0.80,74.0
0.66,83.0
0.66,83.0
0.66,83.0
0.51,87.0
1.37,58.0
0.51,87.0
0.80,79.0
1.23,67.0
0.80,79.0
0.51,87.0
0.23,95.0
2.37,20.0
0.23,95.0
0.89,75.0
0.66,83.0
0.80,79.0
0.51,87.0
0.23,95.0
1.37,58.0
1.20,63.0
0.66,83.0
0.80,79.0
0.37,91.0
0.23,95.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.80,79.0
2.06,34.0
0.66,83.0
1.34,63.0
0.80,79.0
1.37,63.0
0.80,79.0
1.63,51.0
0.23,95.0
0.23,95.0
0.23,95.0
0.66,83.0
0.94,75.0
1.37,58.0
0.51,87.0
1.88,38.0
0.91,70.0
0.80,79.0
0.80,79.0
0.37,91.0
0.94,75.0
1.71,51.0
0.66,83.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.66,83.0
0.86,75.0
0.51,87.0
0.77,79.0
0.23,95.0
0.23,95.0
0.66,83.0
0.23,95.0
1.34,59.0
0.66,83.0
0.23,95.0
0.94,75.0
0.23,95.0
0.23,95.0
0.63,83.0
0.66,83.0
0.37,91.0
0.23,95.0
1.91,38.0
0.66,83.0
0.51,87.0
0.51,87.0
0.23,95.0
0.23,95.0
0.23,95.0
0.23,95.0
1.23,67.0
0.51,87.0
1.34,59.0
0.51,87.0
1.80,46.0
0.51,87.0
0.65,83.0
0.52,87.0
0.23,95.0
1.37,58.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.80,74.0
0.23,95.0
0.94,75.0
1.49,59.0
0.37,91.0
1.80,46.0
0.80,79.0
1.34,59.0
0.80,79.0
1.37,58.0
0.80,79.0
0.80,79.0
4.17,-32.0
0.66,83.0
0.94,75.0
0.80,79.0
0.51,87.0
1.49,54.0
0.77,79.0
0.65,83.0
0.80,79.0
1.23,67.0
0.66,83.0
0.80,79.0
0.66,83.0
0.23,95.0
0.23,95.0
0.80,79.0
1.80,46.0
0.86,80.0
2.94,14.0
0.51,87.0
0.37,91.0
1.20,63.0
0.51,87.0
0.94,75.0
0.80,79.0
0.66,83.0
1.51,54.0
0.66,83.0
0.94,75.0
0.49,87.0
1.37,58.0
1.49,54.0
0.80,79.0
1.91,38.0
0.94,75.0
0.80,79.0
1.91,38.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.80,79.0
0.94,75.0
0.77,75.0
0.66,83.0
0.80,79.0
1.63,51.0
0.66,83.0
0.94,75.0
0.66,83.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.51,87.0
0.37,91.0
1.63,51.0
1.34,59.0
1.63,51.0
0.51,87.0
4.83,-79.0
1.37,62.0
0.80,79.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.23,95.0
0.80,79.0
0.80,79.0
0.66,83.0
0.37,91.0
266.57,175.02,-79.0,95.0,75.415,20.54
