Map,scenarios/2_blend/basic_caco/bc_75.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
1.91,38.0
3.83,-30.0
0.91,71.0
2.09,33.0
0.80,79.0
0.91,71.0
3.77,-34.0
3.14,-14.0
3.37,-18.0
2.23,28.0
1.37,58.0
3.06,0.0
0.91,71.0
0.51,87.0
0.80,79.0
2.06,29.0
1.49,50.0
0.23,95.0
0.51,87.0
2.66,7.0
0.91,71.0
3.09,0.0
3.83,-41.0
0.51,87.0
0.91,71.0
1.09,66.0
0.91,71.0
1.06,67.0
1.06,67.0
0.80,79.0
0.51,87.0
2.23,29.0
2.06,29.0
0.80,79.0
0.51,87.0
0.51,87.0
3.91,-43.0
0.80,79.0
0.80,79.0
0.74,83.0
0.51,87.0
0.51,87.0
1.94,32.0
0.91,71.0
5.86,-113.0
0.91,71.0
1.48,50.0
2.26,18.0
0.51,87.0
3.94,-39.0
1.09,66.0
1.74,42.0
0.80,79.0
1.37,58.0
2.26,18.0
0.91,71.0
1.77,41.0
0.51,87.0
1.43,50.0
5.37,-79.0
0.51,87.0
4.03,-37.0
4.77,-67.0
0.91,71.0
3.48,-12.0
1.37,58.0
1.34,54.0
1.49,50.0
0.51,87.0
0.51,87.0
2.26,18.0
1.86,34.0
3.31,-14.0
1.77,42.0
1.34,54.0
1.34,54.0
1.86,34.0
0.91,71.0
0.51,87.0
0.51,87.0
0.51,87.0
1.34,58.0
2.66,3.0
2.66,7.0
3.20,-14.0
1.48,50.0
0.51,87.0
0.51,87.0
0.51,87.0
0.49,87.0
0.51,87.0
0.51,86.0
2.23,29.0
2.57,6.0
0.46,87.0
0.51,87.0
1.31,58.0
3.20,-13.0
0.51,87.0
0.51,87.0
1.09,66.0
2.51,16.0
0.91,71.0
2.51,16.0
1.49,50.0
0.51,87.0
0.91,71.0
1.51,49.0
2.28,16.0
2.09,33.0
0.91,71.0
0.77,79.0
0.51,86.0
0.80,79.0
0.23,95.0
0.51,87.0
1.23,62.0
1.94,32.0
4.14,-48.0
0.80,79.0
0.77,79.0
1.37,58.0
0.80,79.0
2.80,8.0
8.54,-339.0
2.23,29.0
0.80,79.0
0.80,79.0
1.09,66.0
0.91,71.0
2.08,33.0
1.86,34.0
0.91,71.0
0.51,87.0
2.80,8.0
1.37,58.0
0.51,87.0
0.80,79.0
2.54,10.0
1.34,54.0
2.09,33.0
0.80,79.0
2.49,16.0
0.89,69.0
1.37,58.0
0.51,87.0
1.37,58.0
0.91,71.0
3.03,-5.0
1.09,66.0
2.23,24.0
2.83,-3.0
3.86,-34.0
0.51,87.0
1.06,67.0
2.51,16.0
3.92,-43.0
1.49,50.0
1.49,50.0
1.63,46.0
1.05,66.0
0.91,70.0
1.89,38.0
0.91,71.0
0.51,87.0
1.34,54.0
1.94,37.0
1.23,62.0
2.17,25.0
1.34,59.0
0.51,87.0
0.51,87.0
1.48,50.0
1.37,58.0
0.51,87.0
2.51,21.0
0.51,87.0
0.80,79.0
1.48,50.0
2.66,7.0
0.80,79.0
0.51,87.0
1.09,66.0
1.37,58.0
0.91,71.0
1.37,58.0
2.00,33.0
1.37,58.0
1.34,54.0
0.80,79.0
0.80,79.0
1.94,32.0
2.51,16.0
2.23,24.0
0.51,87.0
2.23,24.0
1.17,66.0
0.80,79.0
0.51,87.0
402.22,310.67,-339.0,95.0,48.535,47.03
