Map,scenarios/2_blend/basic_flat/bf_50_1.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.60,79.0
1.22,67.0
8.54,-253.0
1.31,54.0
8.57,-261.0
0.80,79.0
2.51,6.0
3.11,-4.0
1.20,58.0
2.37,10.0
1.20,58.0
8.54,-239.0
1.57,42.0
1.20,58.0
0.63,82.0
0.66,83.0
1.60,46.0
0.63,83.0
2.69,9.0
0.94,75.0
1.48,50.0
0.66,83.0
1.63,46.0
1.77,42.0
2.74,2.0
2.17,20.0
1.51,59.0
1.48,50.0
0.65,83.0
0.31,95.0
0.80,79.0
8.54,-239.0
1.20,58.0
1.71,38.0
0.77,79.0
0.91,71.0
8.54,-239.0
8.54,-249.0
0.66,83.0
0.65,83.0
0.66,83.0
0.51,87.0
1.63,46.0
0.63,79.0
1.48,50.0
0.63,79.0
1.60,41.0
0.63,79.0
0.94,75.0
0.66,83.0
1.68,38.0
1.28,59.0
0.94,75.0
0.74,79.0
8.54,-246.0
0.37,91.0
0.51,87.0
0.23,95.0
0.48,87.0
0.94,75.0
2.71,5.0
0.63,79.0
1.03,65.0
1.48,55.0
1.20,58.0
8.54,-259.0
1.20,58.0
0.94,75.0
1.48,59.0
3.86,-32.0
0.66,83.0
0.37,91.0
8.54,-240.0
0.23,95.0
1.34,59.0
0.66,83.0
0.80,79.0
0.91,71.0
0.66,83.0
8.54,-244.0
1.48,55.0
0.63,83.0
0.23,95.0
2.06,29.0
0.63,79.0
0.23,95.0
0.94,75.0
8.54,-239.0
0.80,79.0
0.51,87.0
0.66,83.0
1.48,50.0
0.66,83.0
1.17,61.0
0.63,79.0
0.51,87.0
0.63,79.0
0.23,95.0
0.37,91.0
0.74,79.0
8.54,-241.0
1.51,58.0
4.57,-55.0
1.60,41.0
1.34,59.0
0.94,75.0
8.57,-256.0
0.66,82.0
1.06,67.0
0.23,95.0
1.94,29.0
1.63,46.0
0.80,79.0
0.51,87.0
0.80,79.0
8.57,-250.0
8.54,-239.0
0.80,79.0
0.94,75.0
0.23,95.0
0.66,83.0
0.80,79.0
1.37,63.0
0.66,83.0
2.20,22.0
1.71,38.0
1.17,58.0
0.80,79.0
0.66,83.0
1.23,67.0
1.20,58.0
8.54,-240.0
0.94,75.0
8.54,-255.0
1.71,38.0
2.08,28.0
0.94,75.0
0.51,87.0
0.65,83.0
0.63,79.0
0.66,83.0
0.23,95.0
0.94,75.0
0.94,75.0
2.37,20.0
1.22,67.0
0.77,75.0
0.23,95.0
0.66,83.0
8.54,-279.0
1.51,59.0
1.20,58.0
0.63,79.0
2.71,5.0
0.51,87.0
1.08,71.0
1.34,59.0
8.57,-247.0
0.94,75.0
2.06,34.0
2.06,24.0
1.08,71.0
0.63,79.0
1.06,62.0
1.63,41.0
0.51,87.0
0.23,95.0
1.34,54.0
0.23,95.0
8.54,-244.0
0.94,75.0
0.51,87.0
0.51,87.0
1.20,58.0
1.23,67.0
0.94,75.0
1.20,57.0
0.91,74.0
0.80,79.0
0.77,74.0
0.22,95.0
8.54,-258.0
1.17,63.0
1.91,43.0
8.54,-239.0
1.86,34.0
1.37,63.0
0.63,79.0
1.63,51.0
0.88,79.0
0.66,83.0
0.80,79.0
1.06,62.0
1.20,58.0
1.66,45.0
8.54,-255.0
8.54,-251.0
0.94,75.0
0.66,83.0
0.51,87.0
488.82,397.14,-279.0,95.0,28.23,104.82
