Map,scenarios/2_blend/basic_flat/bf_50_2.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
1.08,71.0
0.80,79.0
0.86,79.0
0.80,79.0
0.94,75.0
0.80,79.0
1.37,53.0
1.09,71.0
0.80,79.0
0.91,71.0
1.08,71.0
1.77,42.0
0.66,83.0
0.66,83.0
0.80,79.0
0.80,79.0
0.80,79.0
0.37,91.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,87.0
1.08,71.0
0.51,87.0
0.80,79.0
0.94,75.0
0.80,79.0
0.77,79.0
0.23,95.0
0.80,79.0
0.51,87.0
0.94,75.0
0.66,83.0
0.88,75.0
0.51,87.0
0.51,87.0
1.08,71.0
0.80,79.0
0.80,79.0
0.80,79.0
0.65,83.0
0.51,87.0
0.80,79.0
0.80,79.0
0.66,83.0
0.80,79.0
0.66,83.0
1.08,71.0
0.66,83.0
1.20,63.0
1.46,55.0
1.48,54.0
0.94,75.0
1.17,67.0
0.23,95.0
0.23,95.0
0.22,95.0
0.66,83.0
1.48,54.0
1.08,70.0
0.51,87.0
0.94,75.0
0.51,87.0
0.80,79.0
0.80,79.0
0.23,95.0
0.94,74.0
1.23,67.0
0.51,87.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
0.94,75.0
0.77,79.0
0.94,75.0
0.37,91.0
0.80,79.0
0.57,88.0
0.51,87.0
0.80,79.0
0.23,95.0
1.08,71.0
0.66,83.0
0.23,95.0
0.94,75.0
0.51,87.0
0.23,95.0
0.66,83.0
0.66,83.0
0.63,83.0
0.51,87.0
0.91,71.0
0.66,83.0
0.66,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
0.94,75.0
0.51,87.0
0.94,75.0
0.51,87.0
1.08,71.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.08,71.0
0.80,79.0
0.94,75.0
0.66,83.0
0.94,75.0
0.37,91.0
0.37,91.0
0.94,75.0
1.05,71.0
0.23,95.0
0.80,74.0
0.88,75.0
1.06,71.0
0.91,74.0
1.05,71.0
0.88,75.0
0.91,74.0
2.25,25.0
0.77,78.0
1.46,55.0
0.66,82.0
0.51,87.0
1.03,71.0
0.77,79.0
0.65,83.0
0.65,83.0
1.03,70.0
0.62,83.0
0.88,75.0
0.63,83.0
0.23,94.0
0.22,95.0
0.77,79.0
1.57,49.0
0.74,79.0
1.08,71.0
0.51,87.0
0.23,95.0
0.77,79.0
0.51,86.0
1.03,70.0
0.77,79.0
0.60,82.0
1.11,66.0
0.74,79.0
0.94,75.0
0.51,87.0
1.06,70.0
1.11,70.0
0.88,75.0
1.06,65.0
1.00,70.0
0.66,83.0
0.94,75.0
0.80,79.0
0.66,83.0
0.23,95.0
0.80,79.0
0.23,95.0
0.80,79.0
1.08,71.0
1.06,66.0
1.17,61.0
0.66,83.0
1.23,67.0
0.66,83.0
0.91,71.0
0.66,83.0
0.94,75.0
0.66,83.0
0.23,94.0
0.80,78.0
0.51,87.0
0.23,95.0
1.20,66.0
1.03,66.0
1.17,67.0
0.34,91.0
1.57,49.0
1.48,55.0
0.80,79.0
0.80,79.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,86.0
0.94,75.0
0.94,75.0
0.80,79.0
0.66,83.0
245.85,154.12,25.0,95.0,78.98,10.60
