Map,scenarios/2_blend/basic_flat/bf_75.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
2.29,55.0
1.22,67.0
0.86,79.0
0.91,75.0
0.91,75.0
0.94,75.0
0.80,79.0
0.37,91.0
1.06,71.0
0.80,79.0
0.91,69.0
1.23,67.0
1.08,71.0
0.66,83.0
0.65,83.0
1.46,55.0
1.77,46.0
0.80,79.0
0.23,95.0
0.66,83.0
0.66,83.0
0.80,79.0
0.51,87.0
1.08,70.0
0.57,82.0
0.94,71.0
1.48,55.0
0.77,79.0
1.20,63.0
0.23,95.0
1.34,59.0
0.51,87.0
0.94,75.0
0.63,83.0
1.34,59.0
0.66,83.0
0.46,87.0
1.06,71.0
0.77,79.0
1.43,55.0
1.46,55.0
0.60,83.0
0.48,86.0
0.80,79.0
0.77,79.0
0.66,83.0
0.80,79.0
1.51,54.0
1.08,71.0
1.20,61.0
1.02,71.0
1.49,55.0
1.51,50.0
0.94,75.0
1.20,67.0
0.23,95.0
0.23,95.0
0.23,95.0
0.74,78.0
1.48,54.0
1.08,71.0
0.51,87.0
0.94,70.0
0.52,86.0
0.94,75.0
0.80,79.0
0.23,95.0
1.48,55.0
1.17,71.0
0.66,83.0
0.37,91.0
0.23,95.0
0.23,95.0
0.23,95.0
1.63,51.0
1.45,55.0
1.46,55.0
0.37,91.0
0.77,79.0
0.51,87.0
0.51,87.0
0.80,79.0
0.23,94.0
1.08,71.0
0.65,83.0
0.23,95.0
1.63,51.0
0.51,87.0
0.23,95.0
0.66,83.0
0.66,82.0
0.66,83.0
0.51,87.0
0.91,71.0
0.63,82.0
0.66,83.0
0.51,87.0
0.23,95.0
0.23,95.0
0.51,87.0
0.51,87.0
1.46,55.0
0.51,87.0
0.94,75.0
0.51,87.0
1.06,71.0
0.51,87.0
0.80,79.0
0.51,87.0
0.23,95.0
1.08,71.0
2.34,16.0
0.94,75.0
0.66,83.0
0.94,75.0
0.23,95.0
0.37,91.0
0.94,75.0
1.08,71.0
0.23,95.0
1.48,55.0
1.77,42.0
1.08,71.0
0.88,75.0
1.08,71.0
0.94,75.0
2.34,16.0
1.49,55.0
0.80,79.0
1.48,54.0
0.66,82.0
0.51,87.0
1.08,71.0
0.80,79.0
0.66,83.0
0.66,83.0
1.08,71.0
0.66,83.0
0.88,75.0
0.77,79.0
0.23,95.0
0.23,95.0
0.88,79.0
1.08,71.0
0.80,78.0
1.23,67.0
0.51,87.0
0.23,95.0
0.80,79.0
0.51,87.0
1.48,55.0
0.80,79.0
0.77,79.0
1.08,71.0
0.66,83.0
1.03,71.0
0.51,87.0
1.08,71.0
1.08,71.0
0.94,75.0
1.06,71.0
1.63,51.0
1.51,54.0
0.94,75.0
0.80,79.0
3.51,-17.0
0.23,95.0
0.80,79.0
0.23,95.0
0.94,75.0
1.08,71.0
1.23,62.0
1.20,62.0
0.66,83.0
1.23,67.0
0.66,83.0
1.03,71.0
0.66,83.0
0.94,75.0
0.66,83.0
0.23,95.0
0.80,79.0
0.66,83.0
0.37,90.0
1.17,67.0
1.06,71.0
1.23,67.0
0.37,91.0
1.08,71.0
1.49,55.0
1.48,55.0
0.91,75.0
0.80,79.0
0.65,83.0
0.88,75.0
1.03,67.0
0.94,70.0
1.49,55.0
1.51,54.0
0.66,83.0
267.40,175.74,-17.0,95.0,75.335,15.23
