Map,scenarios/2_blend/basic_flat/bf_75.cfg
Resolution,(48, 64)
Frame Repeat,4
Number of Games,200
Elapsed time,Score min,Score max,Score mean,Score std
1.63,79.0
8.54,-242.0
8.54,-242.0
8.57,-245.0
8.57,-245.0
8.54,-250.0
8.55,-245.0
8.57,-241.0
8.57,-237.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
0.80,79.0
8.57,-237.0
8.54,-243.0
8.54,-240.0
8.54,-239.0
8.57,-241.0
0.66,83.0
8.57,-241.0
8.54,-239.0
8.57,-241.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
0.23,94.0
8.54,-241.0
8.54,-239.0
8.54,-242.0
8.57,-237.0
8.54,-240.0
8.57,-241.0
8.54,-241.0
8.54,-245.0
8.54,-241.0
8.54,-239.0
0.77,79.0
8.54,-238.0
8.54,-240.0
8.54,-242.0
8.54,-239.0
8.57,-241.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-238.0
8.54,-241.0
8.54,-239.0
8.57,-241.0
8.54,-242.0
8.54,-243.0
8.54,-239.0
8.54,-237.0
8.57,-241.0
8.57,-241.0
8.57,-249.0
8.57,-241.0
8.54,-239.0
8.54,-239.0
8.57,-237.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-242.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-243.0
8.54,-242.0
8.54,-240.0
8.54,-242.0
8.54,-240.0
8.54,-240.0
0.63,83.0
8.54,-238.0
8.54,-239.0
8.57,-241.0
0.23,95.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
1.34,63.0
8.54,-242.0
8.57,-237.0
8.55,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.57,-237.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.57,-241.0
8.57,-241.0
8.54,-242.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-241.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-237.0
8.57,-245.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.57,-237.0
8.54,-240.0
8.54,-239.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-238.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
2.37,35.0
8.57,-241.0
8.54,-239.0
8.54,-240.0
8.54,-237.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.57,-241.0
8.54,-244.0
8.54,-239.0
8.54,-239.0
8.54,-237.0
8.54,-239.0
8.54,-241.0
8.54,-242.0
8.54,-241.0
8.54,-242.0
8.54,-241.0
8.54,-238.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.57,-245.0
8.54,-240.0
8.57,-237.0
8.54,-239.0
8.54,-240.0
8.57,-241.0
8.54,-239.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.54,-239.0
8.54,-242.0
8.55,-241.0
0.23,95.0
8.57,-241.0
8.54,-239.0
8.54,-240.0
8.54,-240.0
8.57,-237.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-239.0
8.54,-243.0
8.54,-244.0
8.57,-237.0
8.54,-239.0
0.23,95.0
8.54,-240.0
8.54,-239.0
8.57,-241.0
8.57,-245.0
8.57,-245.0
8.54,-240.0
8.57,-237.0
8.54,-240.0
8.54,-241.0
8.57,-241.0
8.57,-241.0
8.54,-241.0
8.54,-244.0
8.57,-237.0
8.54,-240.0
8.54,-239.0
8.54,-239.0
8.54,-243.0
8.54,-244.0
1716.23,1624.64,-250.0,95.0,-222.505,73.12
